% Base Parameters: Dims = 100, predfreq = .004, huntsteps = 4, hetfreq = .01, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 1000, basevig = .001, vigilance = true, vigprop = .334, indvprop = .333, mutrate = .001, fthresh = 25, fleeforage = 0, stayforage = 1, localbirth = true, learnalg = r, lrate = .01, 

% Test Parameters:
%learnalg = [r, n, b]
% 	Parameters	Results
Timestep	learnalg	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	PredRate	ReprodRate	FAlarmRate	vigcount	indcount	soccount	
% [100, .004, 4, .01, 1, 0, 1, 1, 1, 2, 4, 2, 4, 2, true, 1000, .001, true, .334, .333, .001, 25, 0, 1, true, r, .01]
34000	r	0.004683955506342261	0.495184620416777	0.49399067712187184	0.995316044479999	0.9944662997102603	0.9634201632320698	0.1303529411764706	0.1303529411764706	0.40305882352941175	404.0	498.0	98.0	
35000	r	0.010131382283966109	0.49581797574778574	0.4918074260445216	0.9898686177017159	0.9821422837448248	0.9672458546985887	0.12842857142857142	0.12842857142857142	0.3977428571428571	398.0	509.0	93.0	
36000	r	0.0072876371353510746	0.4957770829340602	0.4900098779147512	0.9927123628496046	0.992886910206179	0.9763884998961793	0.1279722222222222	0.1279722222222222	0.3914166666666667	384.0	525.0	91.0	
37000	r	0.003828799586676053	0.49569138309767113	0.4903350322756542	0.9961712003981646	0.9988393147096465	0.9833808345646553	0.12554054054054054	0.12554054054054054	0.3834594594594595	387.0	531.0	82.0	
38000	r	0.008002529837815653	0.4954446665359562	0.4874210448698719	0.9919974701456399	0.9924443907743009	0.9785940269400598	0.12428947368421053	0.12428947368421053	0.3774736842105263	374.0	550.0	76.0	
39000	r	0.0069135049327318674	0.49483350527640857	0.4845759162548157	0.993086495050329	0.9925121354651606	0.9642165567465495	0.12356410256410257	0.12356410256410257	0.3739230769230769	371.0	560.0	69.0	
40000	r	0.020721310552364817	0.4954788727326142	0.4834371522756788	0.9792786894309684	0.9850945179881702	0.9896804964740644	0.122175	0.122175	0.36795	381.0	556.0	63.0	
41000	r	0.005833915562595107	0.49086000900946086	0.48415425675707097	0.9941660844203135	0.9931822115968032	0.966608007173272	0.12368292682926829	0.12368292682926829	0.3848048780487805	374.0	563.0	63.0	
42000	r	0.003674255096342548	0.49169653973266153	0.4796693468031742	0.9963257448864997	0.9975592215981876	0.9942871416784096	0.12207142857142857	0.12207142857142857	0.37961904761904763	378.0	569.0	53.0	
43000	r	0.003904314566565005	0.49203034119411215	0.47490578492744	0.9960956854156987	0.9984957561786935	0.9932593688115462	0.12034883720930233	0.12034883720930233	0.3742325581395349	377.0	575.0	48.0	
