% Base Parameters: Dims = 100, predfreq = .004, huntsteps = 4, hetfreq = .01, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 1000, basevig = 0, vigilance = true, vigprop = .334, indvprop = .333, mutrate = .001, fthresh = 25, fleeforage = 0, stayforage = 1, localbirth = true, learnalg = r, lrate = .01, 

% Test Parameters:
%learnalg = [r, n]
% 	Parameters	Results
Timestep	learnalg	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	PredRate	ReprodRate	FAlarmRate	vigcount	indcount	soccount	
% [100, .004, 4, .01, 1, 0, 1, 1, 1, 2, 4, 2, 4, 2, true, 1000, 0, true, .334, .333, .001, 25, 0, 1, true, r, .01]
42000	r	0.009341100816020655	0.4875336315302883	0.4915705654535956	0.9906588991701026	0.9970631573178454	0.9695160410991429	0.114	0.114	0.101	486.0	422.0	92.0	
43000	r	0.026469120532954034	0.4898680186553369	0.49149326324086406	0.9735308794526683	0.9798074961621182	0.9302439755913156	0.17	0.17	0.211	485.0	429.0	86.0	
44000	r	0.007933910393689998	0.48941754785590774	0.49098453121561125	0.9920660895914891	0.989375088768829	0.9661808013154682	0.105	0.105	0.109	483.0	435.0	82.0	
45000	r	0.026578699195511674	0.4890648957224653	0.49502765223692846	0.9734213007895873	0.9675657574846328	0.9297760343455158	0.151	0.151	0.436	486.0	434.0	80.0	
46000	r	0.009604611413178655	0.48611918604541643	0.4961897697750322	0.9903953885723963	0.9942922861539074	0.9550303428381607	0.177	0.177	0.567	511.0	416.0	73.0	
47000	r	0.00888713271786432	0.48774811632207743	0.49691858873942185	0.9911128672673358	0.9945228141140775	0.9859937950953123	0.111	0.111	0.083	514.0	419.0	67.0	
48000	r	0.006846958435135081	0.4881801287182158	0.4986988712145072	0.9931530415494998	0.9822347601278633	0.966608803546203	0.111	0.111	0.147	517.0	418.0	65.0	
49000	r	0.010882327201274404	0.48819661620446486	0.49937389152018313	0.9891176727832721	0.9914614383788918	0.9829468626850795	0.073	0.073	0.162	529.0	417.0	54.0	
50000	r	0.0021330036788903247	0.4889449922929979	0.5004982044309593	0.9978669963051476	0.9947076003411851	0.9821478485693801	0.114	0.114	0.429	531.0	420.0	49.0	
51000	r	0.0013361975741808254	0.48845361914799423	0.5039455817541683	0.9986638024099824	0.9969892513907447	0.983304424006166	0.032	0.032	0.128	541.0	422.0	37.0	
52000	r	0.005599782972607395	0.4876386609331933	0.5071022836412685	0.9944002170104828	0.9955432105014497	0.9900536036687055	0.033	0.033	0.199	557.0	412.0	31.0	
53000	r	0.0031127800175536477	0.4870918586033154	0.505476142953233	0.9968872199650212	0.9980775090258377	0.9735976042947334	0.059	0.059	0.333	558.0	415.0	27.0	
54000	r	0.014018301091323173	0.48413670967543315	0.5020650459331719	0.9859816988904444	0.9884050141183747	0.9214695572703558	0.12	0.12	0.596	539.0	432.0	29.0	
55000	r	0.008999463383680921	0.4863142747912364	0.5000030319620873	0.9910005365966194	0.9923401349421052	0.9525643616389344	0.164	0.164	0.278	505.0	467.0	28.0	
56000	r	0.0058077524009892325	0.4867054378655017	0.5000033957975378	0.994192247578934	0.9902906028963657	0.9686516951657977	0.06	0.06	0.096	500.0	475.0	25.0	
57000	r	0.011854927577582337	0.4824263507695678	0.5035248546703482	0.988145072402303	0.9908644821024428	0.9599661091892915	0.112	0.112	0.93	514.0	460.0	26.0	
58000	r	0.018624501834335953	0.4836702814630545	0.5042020096273503	0.9813754981451274	0.9923592916517108	0.9628820632588994	0.09	0.09	0.057	513.0	464.0	23.0	
59000	r	1.9100633074940716E-4	0.4831389709024603	0.5046022010204313	0.999808993648134	0.9998685587735773	0.9993490467093002	0.035	0.035	0.156	510.0	469.0	21.0	
60000	r	0.005394392336438147	0.48333972873037645	0.49901133891092	0.9946056076421713	0.99683602093376	0.9819821175486493	0.074	0.074	0.09	525.0	458.0	17.0	
61000	r	4.2772968911918653E-4	0.4831248132129753	0.4989495475928525	0.9995722702888444	0.9999037904746123	0.9989381178051681	0.023	0.023	0.046	533.0	451.0	16.0	
62000	r	0.0025657392583758156	0.4828351613860389	0.4989495475928525	0.9974342607194233	0.9994584536696937	0.9975355306255094	0.007	0.007	0.072	534.0	450.0	16.0	
63000	r	0.007031173268193991	0.4836462506742609	0.49887951743237596	0.9929688267097507	0.9921199296894873	0.9535662152541656	0.042	0.042	0.058	545.0	440.0	15.0	
64000	r	0.022992053010419858	0.4770115998063236	0.5008284484078419	0.9770079469674197	0.9855631667427611	0.9426584149563736	0.175	0.175	1.411	549.0	439.0	12.0	
65000	r	0.017773347201840952	0.4777730501506453	0.5150476448563462	0.9822266527760293	0.9833860056428791	0.9195778659903471	0.183	0.183	0.417	557.0	432.0	11.0	
