% Base Parameters: Dims = 100, predfreq = .004, huntsteps = 4, hetfreq = .01, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 1000, basevig = .001, vigilance = true, vigprop = .334, indvprop = .333, mutrate = .001, fthresh = 25, fleeforage = .5, stayforage = 1, localbirth = true, learnalg = r, lrate = .01, 

% Test Parameters:
%learnalg = [r, n, b]
% 	Parameters	Results
Timestep	learnalg	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	PredRate	ReprodRate	FAlarmRate	vigcount	indcount	soccount	
% [100, .004, 4, .01, 1, 0, 1, 1, 1, 2, 4, 2, 4, 2, true, 1000, .001, true, .334, .333, .001, 25, .5, 1, true, r, .01]
0	r	0.5	0.5	0.5	0.5	0.5	0.5	NaN	NaN	NaN	334.0	333.0	333.0	
1000	r	0.015651216172950972	0.49841613141410573	0.5001780655412635	0.9843487838268741	0.984377969859429	0.819680008102387	0.224	0.224	0.554	332.0	321.0	347.0	
2000	r	0.01209055498493319	0.49665305482157796	0.4974474411816543	0.9879094450141593	0.9828968758491776	0.8838905373357497	0.192	0.192	0.855	320.0	323.0	357.0	
3000	r	0.007893487375503518	0.4961540286946717	0.49819583812600265	0.9921065126228128	0.9899723077629942	0.8670595808564563	0.18166666666666667	0.18166666666666667	0.6976666666666667	326.0	322.0	352.0	
4000	r	0.005832943843549807	0.49602903237873197	0.4982550720808533	0.9941670561542418	0.9912908672446308	0.8863460266465839	0.16475	0.16475	0.5915	331.0	322.0	347.0	
5000	r	0.013955557997003522	0.49335493027211164	0.49780135402143255	0.98604444200037	0.992004178773914	0.8404658907763997	0.1624	0.1624	0.58	335.0	319.0	346.0	
6000	r	0.009859937884405812	0.4939592157160766	0.49768588057316127	0.9901400621126637	0.9885748522726662	0.8493936549464185	0.168	0.168	0.5291666666666667	333.0	325.0	342.0	
7000	r	0.011140075053183847	0.49303929053317813	0.4974404988549951	0.9888599249436147	0.9883138102864817	0.869626158954476	0.16342857142857142	0.16342857142857142	0.5317142857142857	348.0	323.0	329.0	
8000	r	0.020074074059584494	0.49269734804883275	0.49692105208741205	0.9799259259367986	0.9871907983290339	0.8505050089102573	0.16525	0.16525	0.495375	356.0	312.0	332.0	
9000	r	0.010545478948717765	0.49066835446101476	0.49665875048768243	0.9894545210475036	0.9948589048180155	0.8914322034812513	0.16377777777777777	0.16377777777777777	0.5357777777777778	375.0	295.0	330.0	
10000	r	0.010088869956506303	0.49107724142142345	0.4969323830065112	0.9899111300391683	0.9875860347573118	0.868957100467675	0.1649	0.1649	0.5135	367.0	299.0	334.0	
11000	r	0.011690922570823202	0.49225613339867713	0.49546921751971	0.9883090774244991	0.9899751198722182	0.86211654833371	0.16227272727272726	0.16227272727272726	0.48963636363636365	378.0	297.0	325.0	
12000	r	0.01559912835964252	0.4922154520435439	0.49433186377242855	0.9844008716354236	0.9906616060855891	0.8708099459347378	0.1615	0.1615	0.4955833333333333	382.0	298.0	320.0	
13000	r	0.007452047765267618	0.49125089025771684	0.49497066347779395	0.9925479522294314	0.9904991777494743	0.8845526022218105	0.16246153846153846	0.16246153846153846	0.4928461538461538	381.0	291.0	328.0	
14000	r	0.008654531220220736	0.49170322966941815	0.4940967470491593	0.991345468774012	0.9935227716191031	0.9069200123095886	0.15842857142857142	0.15842857142857142	0.49442857142857144	385.0	287.0	328.0	
15000	r	0.012081048317504155	0.49012483175365745	0.4939800004924401	0.9879189516763376	0.9854010743566186	0.8857233337668643	0.1558	0.1558	0.49533333333333335	405.0	284.0	311.0	
16000	r	0.011884860190784458	0.4906674062090049	0.49556672774902516	0.9881151398026272	0.9905712506787936	0.8494997723480714	0.1565625	0.1565625	0.477125	400.0	272.0	328.0	
17000	r	0.01151406166278396	0.4915356021819774	0.49579476861010635	0.9884859383299779	0.986425380854306	0.8030622136485215	0.15923529411764706	0.15923529411764706	0.4606470588235294	383.0	284.0	333.0	
18000	r	0.006957163324577079	0.4922353641070208	0.49631525445941105	0.9930428366677193	0.9862717414109556	0.8365467318240871	0.15877777777777777	0.15877777777777777	0.45694444444444443	382.0	296.0	322.0	
19000	r	0.0062897629275066496	0.49269077944766365	0.49566172968904	0.993710237064341	0.9952726564122578	0.8862212312385858	0.15721052631578947	0.15721052631578947	0.4456842105263158	383.0	297.0	320.0	
20000	r	0.0077016620818144066	0.49217511723954077	0.49446387300951505	0.992298337909433	0.9938455942330858	0.8926167171576562	0.1536	0.1536	0.44995	383.0	302.0	315.0	
21000	r	0.008697821974690467	0.49221941669884306	0.4941125822749525	0.9913021780162474	0.9878203188154914	0.8817195114904388	0.15223809523809523	0.15223809523809523	0.45561904761904765	391.0	312.0	297.0	
22000	r	0.016582959727297973	0.4929250573724116	0.4940553491832908	0.9834170402634789	0.9776760709123198	0.8745214594601547	0.15195454545454545	0.15195454545454545	0.4474090909090909	399.0	322.0	279.0	
23000	r	0.012060716986316755	0.4908116123506682	0.49616799142188384	0.9879392830046101	0.9900550531625341	0.8819868736098105	0.15256521739130435	0.15256521739130435	0.45156521739130434	415.0	305.0	280.0	
24000	r	0.011370988059383247	0.49045904482237446	0.49476515383672	0.9886290119309581	0.9919456985659456	0.9070839986828944	0.15208333333333332	0.15208333333333332	0.46066666666666667	405.0	315.0	280.0	
25000	r	0.006400519672716861	0.48953103558992134	0.49546200090377557	0.9935994803170844	0.9923050384820219	0.9260817645098499	0.15072	0.15072	0.46668	404.0	325.0	271.0	
26000	r	0.010836420437270662	0.48454010353452837	0.4963508322078917	0.9891635795524958	0.990960058121753	0.9071659967939673	0.15076923076923077	0.15076923076923077	0.5054615384615384	420.0	320.0	260.0	
27000	r	0.011051892471311445	0.48597657446982906	0.4953395519271607	0.9889481075178962	0.9916301059993095	0.9013579122684786	0.15122222222222223	0.15122222222222223	0.49955555555555553	411.0	334.0	255.0	
