% Base Parameters: Dims = 100, predfreq = .004, huntsteps = 4, hetfreq = .01, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 1000, basevig = .001, vigilance = true, vigprop = .334, indvprop = .333, mutrate = .001, fthresh = 25, fleeforage = 0, stayforage = .1, localbirth = true, learnalg = r, lrate = .01, 

% Test Parameters:
%stayforage = [.1, .5, .9]
%learnalg = [r, n, b]
% 	Parameters		Results
Timestep	stayforage	learnalg	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	PredRate	ReprodRate	FAlarmRate	vigcount	indcount	soccount	
% [100, .004, 4, .01, 1, 0, 1, 1, 1, 2, 4, 2, 4, 2, true, 1000, .001, true, .334, .333, .001, 25, 0, .1, true, r, .01]
19000	.1	r	0.01278070676027563	0.48791394908156016	0.4966884974660479	0.9872192932354817	0.9916556589291687	0.9210349054342896	0.189	0.189	0.6378947368421053	401.0	447.0	152.0	
20000	.1	r	0.016976546075934316	0.48561536087035384	0.49484612521523635	0.9830234539195312	0.9781212427780178	0.9299651137017179	0.19	0.19	0.65915	392.0	462.0	146.0	
21000	.1	r	0.01410481933566093	0.4853353599872925	0.4924186673538501	0.9858951806595385	0.9815524732088388	0.9260543435730461	0.1909047619047619	0.1909047619047619	0.6682380952380952	382.0	480.0	138.0	
22000	.1	r	0.018572783369327023	0.48318647148107485	0.4917566619020803	0.981427216625681	0.9841905728966639	0.9368563721887146	0.19131818181818183	0.19131818181818183	0.6772272727272727	381.0	478.0	141.0	
23000	.1	r	0.012143779092679071	0.48311846798087427	0.4936103240582851	0.9878562209020675	0.9806398715553358	0.9082212851040624	0.1927391304347826	0.1927391304347826	0.6806521739130434	375.0	480.0	145.0	
24000	.1	r	0.009826371282040036	0.4814062266005028	0.4952608564618969	0.9901736287124185	0.983105190077928	0.9324418002497649	0.192	0.192	0.6855416666666667	370.0	486.0	144.0	
25000	.1	r	0.012843447195796309	0.48280242945772667	0.4946849499363332	0.9871565527982271	0.9808339261676131	0.9365745654299115	0.19128	0.19128	0.68448	360.0	502.0	138.0	
26000	.1	r	0.017658798500425066	0.48148598944155485	0.4955503693467649	0.9823412014932573	0.9809821309494788	0.9397913698709055	0.19076923076923077	0.19076923076923077	0.7007307692307693	354.0	508.0	138.0	
27000	.1	r	0.019643693648494116	0.48129664867867744	0.4965964669004279	0.9803563063449089	0.9851527556414206	0.9194458881089299	0.18955555555555556	0.18955555555555556	0.701962962962963	348.0	513.0	139.0	
28000	.1	r	0.009322289095227145	0.48234204647147805	0.49719636477195367	0.9906777108977998	0.9863757173600658	0.9465603920292004	0.18846428571428572	0.18846428571428572	0.7036428571428571	345.0	523.0	132.0	
29000	.1	r	0.016600163186547542	0.48197096741344475	0.4958496718672731	0.9833998368061123	0.984088547894876	0.9281150134328807	0.18782758620689655	0.18782758620689655	0.7079310344827586	341.0	525.0	134.0	
30000	.1	r	0.012488939097075283	0.47999212760865845	0.4953595263623677	0.9875110608955444	0.9870884535550802	0.9494143652325819	0.18656666666666666	0.18656666666666666	0.7210333333333333	346.0	522.0	132.0	
31000	.1	r	0.014297604668595346	0.48151192786995806	0.494409128367679	0.985702395323559	0.9830352123292297	0.9160276180806594	0.18693548387096776	0.18693548387096776	0.7233548387096774	339.0	526.0	135.0	
