% Base Parameters: Dims = 100, predfreq = .004, huntsteps = 4, hetfreq = .01, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 1000, vigilance = true, vigprop = .333, indvprop = .333, mutrate = .001, fthresh = 25, localbirth = false, learnalg = b, lrate = .01, 

% Test Parameters:
%vigilance = [true, false]
% 	Parameters	Results
Timestep	vigilance	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	vigcount	indcount	soccount	
% [100, .004, 4, .01, 1, 0, 1, 1, 1, 2, 4, 2, 4, 2, true, 1000, true, .333, .333, .001, 25, false, b, .01]
54000	true	0.0	0.3858267716535433	0.41828087167070216	1.0	1.0	1.0	47.0	127.0	826.0	
55000	true	0.0	0.42700729927007297	0.42392638036809815	1.0	0.9963503649635036	1.0	48.0	137.0	815.0	
56000	true	0.0	0.41544117647058826	0.42892156862745096	1.0	1.0	1.0	48.0	136.0	816.0	
57000	true	0.0	0.4227941176470588	0.4319852941176471	1.0	1.0	1.0	48.0	136.0	816.0	
58000	true	0.0	0.4216417910447761	0.423500611995104	1.0	1.0	1.0	49.0	134.0	817.0	
59000	true	0.0	0.4323308270676692	0.41953316953316955	1.0	1.0	1.0	53.0	133.0	814.0	
60000	true	0.0	0.4375	0.43057247259439707	1.0	1.0	0.9987819732034104	51.0	128.0	821.0	
61000	true	0.0	0.42105263157894735	0.4331288343558282	1.0	0.9962406015037594	1.0	52.0	133.0	815.0	
62000	true	0.0	0.424	0.42718446601941745	1.0	1.0	0.9993932038834952	51.0	125.0	824.0	
63000	true	0.0	0.42338709677419356	0.4241504854368932	1.0	1.0	1.0	52.0	124.0	824.0	
64000	true	0.0	0.42063492063492064	0.4253640776699029	1.0	1.0	1.0	50.0	126.0	824.0	
65000	true	0.0	0.4267241379310345	0.43189964157706096	1.0	1.0	1.0	47.0	116.0	837.0	
66000	true	0.0	0.43162393162393164	0.4365269461077844	1.0	1.0	1.0	48.0	117.0	835.0	
67000	true	0.0	0.452755905511811	0.4393939393939394	1.0	1.0	1.0	48.0	127.0	825.0	
