% Base Parameters: Dims = 100, predfreq = .004, huntsteps = 4, hetfreq = .01, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 1000, basevig = .01, vigilance = true, vigprop = .334, indvprop = .333, mutrate = .001, fthresh = 25, fleeforage = 0, stayforage = 1, localbirth = true, learnalg = r, lrate = .01, 

% Test Parameters:
%basevig = [.01, .05, .1]
%learnalg = [r, n, b]
% 	Parameters		Results
Timestep	basevig	learnalg	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	PredRate	ReprodRate	FAlarmRate	vigcount	indcount	soccount	
% [100, .004, 4, .01, 1, 0, 1, 1, 1, 2, 4, 2, 4, 2, true, 1000, .01, true, .334, .333, .001, 25, 0, 1, true, r, .01]
40000	.01	r	0.019386057833360924	0.49041880664869336	0.4968892043946821	0.9806139421520881	0.9853194943584886	0.8875379664829737	0.191	0.191	0.231	598.0	209.0	193.0	
41000	.01	r	0.005530636312188127	0.4896771385853624	0.4931939684890407	0.9944693636731085	0.996345422065604	0.9241051555976904	0.148	0.148	0.579	622.0	193.0	185.0	
42000	.01	r	0.012936471327735857	0.4884855764548546	0.4955996427919117	0.9870635286567706	0.9839503584119254	0.8856582451091387	0.156	0.156	0.218	617.0	203.0	180.0	
43000	.01	r	0.005472386012698332	0.48904021555703875	0.49432922347857433	0.994527613970669	0.9827476984076723	0.9159370340859357	0.185	0.185	0.273	602.0	227.0	171.0	
44000	.01	r	0.007919010060947595	0.4880452968068788	0.4933361848252963	0.992080989921888	0.9912847731820489	0.9228771569290231	0.15	0.15	0.276	596.0	230.0	174.0	
45000	.01	r	0.016036223839398227	0.4879514830492988	0.4916133060532596	0.9839637761432434	0.9820668270713196	0.893147850830391	0.23	0.23	0.391	609.0	218.0	173.0	
46000	.01	r	0.010378394068843508	0.4888561264393193	0.49221582755722776	0.9896216059135655	0.9931363988455117	0.9292616017414547	0.127	0.127	0.121	616.0	224.0	160.0	
47000	.01	r	0.009301173928853929	0.4872661266284222	0.4945300865911422	0.9906988260528254	0.9930326821685487	0.9161813878347319	0.167	0.167	0.313	614.0	218.0	168.0	
48000	.01	r	0.008069171191488717	0.48860367628439033	0.493063237616987	0.9919308287904404	0.9881740195266503	0.9298983571678091	0.131	0.131	0.264	648.0	208.0	144.0	
49000	.01	r	0.007427735756021665	0.48759908698176263	0.4930319629923621	0.992572264226377	0.994859132036026	0.95178070287131	0.075	0.075	0.376	683.0	192.0	125.0	
50000	.01	r	0.008064572514475399	0.48757243937105826	0.49244304197346556	0.9919354274667678	0.9928434582770158	0.9201316496440314	0.135	0.135	0.15	677.0	202.0	121.0	
51000	.01	r	0.009716290668507216	0.4875622463987872	0.49107047400330767	0.9902837093126202	0.9930372874741	0.9303826973995081	0.15	0.15	0.173	688.0	199.0	113.0	
52000	.01	r	0.012650275604867657	0.4868309603452379	0.49454933842632814	0.9873497243760366	0.9918262155811036	0.9268944874175861	0.163	0.163	0.228	692.0	207.0	101.0	
53000	.01	r	0.010963775546895045	0.4871872419562059	0.49387527717493734	0.9890362244338017	0.9913337477134169	0.9285674913138364	0.072	0.072	0.114	702.0	198.0	100.0	
54000	.01	r	0.019062182293562564	0.4876738218432871	0.4942601323160074	0.9809378176862465	0.9889254645827111	0.9008021197087182	0.131	0.131	0.103	695.0	200.0	105.0	
55000	.01	r	0.005696665432184954	0.4888730836043008	0.4906344248246754	0.9943033345474722	0.9919615662700291	0.9570740705455403	0.112	0.112	0.176	705.0	207.0	88.0	
56000	.01	r	0.015444185297280533	0.48902387126406627	0.49202357177233064	0.9845558146818743	0.9870549770111914	0.9165267931989395	0.212	0.212	0.269	699.0	213.0	88.0	
57000	.01	r	0.028401544109215852	0.48800985115454865	0.4938296887742449	0.9715984558687731	0.9800183336414953	0.907555772636943	0.2	0.2	0.265	685.0	226.0	89.0	
58000	.01	r	0.010232490291525509	0.4883424490944553	0.4942523933036094	0.9897675096852026	0.9907479352576046	0.9243393790790733	0.164	0.164	0.209	658.0	243.0	99.0	
59000	.01	r	0.014047404552249818	0.49043512214867746	0.4947272842803319	0.9859525954234086	0.9880064009779248	0.9282946708632768	0.162	0.162	0.073	639.0	267.0	94.0	
60000	.01	r	0.022234254794675817	0.49064833857400564	0.494505538496208	0.9777657451798263	0.9873956001808951	0.9214693611667303	0.149	0.149	0.175	639.0	270.0	91.0	
61000	.01	r	0.015575420909228208	0.4911404347347356	0.4968535840156664	0.9844245790638124	0.9850295810399933	0.9129785817170906	0.214	0.214	0.311	613.0	288.0	99.0	
62000	.01	r	0.007985031117183765	0.4923881702132669	0.49712128225137964	0.9920149688550882	0.9953875215116907	0.957762050536938	0.107	0.107	0.029	609.0	301.0	90.0	
63000	.01	r	0.021258525604552606	0.4922232473676725	0.49656792012248446	0.9787414743672943	0.981803219046414	0.9380550419197987	0.133	0.133	0.327	616.0	306.0	78.0	
64000	.01	r	0.004325870475027905	0.49091467923066995	0.49556937305503507	0.9956741294965692	0.9940535850921915	0.9579351171393121	0.117	0.117	0.472	625.0	299.0	76.0	
65000	.01	r	0.009547754018264378	0.4891165715480653	0.4907789248585238	0.9904522459536519	0.9904627667825223	0.9428766659909924	0.126	0.126	0.61	640.0	298.0	62.0	
66000	.01	r	0.003533710300999006	0.48862463953044244	0.4909439128939365	0.9964662896699521	0.9979583817115749	0.9258281521751719	0.122	0.122	0.256	639.0	296.0	65.0	
67000	.01	r	0.020035112243009464	0.48676051011119575	0.4923179750802294	0.979964887727794	0.9828986203249075	0.908197381437358	0.151	0.151	0.383	645.0	292.0	63.0	
68000	.01	r	0.021128870323076154	0.4869607917977086	0.49174486947833207	0.978871129646926	0.9874084967744926	0.9144166248754779	0.208	0.208	0.383	642.0	295.0	63.0	
69000	.01	r	0.012878420707126859	0.4860876217266324	0.4889241349033643	0.9871215792619618	0.9943799232159023	0.9537837820897733	0.144	0.144	0.314	630.0	305.0	65.0	
70000	.01	r	0.008905046534913068	0.4875906577791463	0.48977422330576925	0.9910949534326122	0.9897933278855704	0.9594051940807621	0.122	0.122	0.071	613.0	331.0	56.0	
