% Base Parameters: Dims = 100, predfreq = .01, huntsteps = 1, hetfreq = .1, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 1000, basevig = .001, vigilance = true, vigprop = 0, indvprop = .5, mutrate = .001, fthresh = 25, fleeforage = 1, stayforage = 1, predflee = 0, localbirth = false, minlifespan = 125, lifespanrange = 50, learnalg = n, lrate = .01, 

% Test Parameters:
%predflee = [0, .5, 1]
%learnalg = [n, r, b]
% 		Parameters		Results
Seed	Timestep	predflee	learnalg	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	VigPredCost	IndPredCost	SocPredCost	VigForageCost	IndForageCost	SocForageCost	PredRate	ReprodRate	FAlarmRate	vigcount	indcount	soccount	
% [100, .01, 1, .1, 1, 0, 1, 1, 1, 2, 4, 2, 4, 2, true, 1000, .001, true, 0, .5, .001, 25, 1, 1, 0, false, 125, 50, n, .01]
0	0	0	n	NaN	0.5	0.5	NaN	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN	0.0	500.0	500.0	
0	150	0	n	NaN	0.4914245828411458	0.5052422405924207	NaN	0.7073042343576397	0.4504494667933945	0.0	0.04546722634961996	0.0518632124432984	0.0	0.0	0.0	0.30666666666666664	3.986666666666667	30.073333333333334	0.0	417.0	410.0	
0	300	0	n	NaN	0.4922404937691025	0.5048290641249088	NaN	0.7037613216615711	0.45961859120346826	0.0	0.10613866770732691	0.09716094268020704	0.0	0.0	0.0	0.31666666666666665	5.95	32.093333333333334	0.0	438.0	463.0	
0	450	0	n	NaN	0.4959035163666196	0.5025521341930224	NaN	0.693784966678033	0.4591609734646944	0.0	0.1767359199641751	0.1482646162739478	0.0	0.0	0.0	0.3333333333333333	6.484444444444445	29.177777777777777	0.0	432.0	519.0	
0	600	0	n	0.36038350829834603	0.4947536973666815	0.5041760790579102	0.639616491701654	0.6723975539441418	0.47062467405649583	0.0	0.24481161369685372	0.2001376338731784	0.0	0.0	0.0	0.34	6.838333333333333	28.786666666666665	2.0	467.0	513.0	
0	750	0	n	0.3176622690372033	0.49626525483386946	0.5061207331314018	0.6823377309627979	0.7192266084901645	0.4668993934552382	0.0	0.29210856879304964	0.2671118281535398	0.0	0.0	0.0	0.3426666666666667	6.718666666666667	28.329333333333334	1.0	395.0	432.0	
0	900	0	n	0.4165098872775467	0.4925841004818452	0.5075079752753124	0.5834901127224543	0.7064710829490958	0.45216553233801365	0.0	0.3661753636155606	0.33038206045990853	0.0	0.0	0.0	0.35444444444444445	6.891111111111111	29.006666666666668	1.0	396.0	475.0	
0	1050	0	n	0.2766129004188012	0.49222624129780906	0.5046357195557307	0.7233870995812003	0.6940871522652915	0.45708665461649584	0.5	0.4159688492288633	0.37869324586582787	0.0	0.0	0.0	0.3476190476190476	6.999047619047619	29.02	2.0	419.0	492.0	
0	1200	0	n	0.2745872711031646	0.4940259685049858	0.502919293097328	0.7254127288968377	0.6840444810595535	0.46479753255998646	0.5	0.48835884143618813	0.43621168366525237	0.0	0.0	0.0	0.3525	7.105833333333333	28.321666666666665	2.0	441.0	521.0	
0	1350	0	n	Infinity	0.4926845742489258	0.5036002653096143	Infinity	0.7163279907912048	0.4547488718686957	0.5	0.548522857857953	0.4799182885688324	0.0	0.0	0.0	0.3474074074074074	7.037037037037037	28.64	0.0	360.0	458.0	
0	1500	0	n	0.3717217093931584	0.49270561527449924	0.5043159850834031	0.6282782906068429	0.7136080687593993	0.45284002846022764	0.5	0.625937033503521	0.5359681641206698	0.0	0.0	0.0	0.3526666666666667	7.096	29.026	5.0	371.0	484.0	
0	1650	0	n	0.3347252234515774	0.49522381745201266	0.5036134044149599	0.6652747765484268	0.7041851766669999	0.45830534069183576	0.5	0.6872043515409152	0.5757836690063922	0.0	0.0	0.0	0.3484848484848485	7.140606060606061	29.316363636363636	3.0	419.0	482.0	
0	1800	0	n	0.31692941326536345	0.49637778939709043	0.5062143062797	0.6830705867346382	0.697796673859682	0.45923291559548174	0.5	0.7431988975166544	0.6336952740481604	0.0	0.0	0.0	0.3477777777777778	7.1866666666666665	29.02777777777778	5.0	383.0	558.0	
0	1950	0	n	0.3118368825717298	0.49168199645823246	0.501081943750637	0.6881631174282716	0.6846795910057052	0.4599599098941726	0.5	0.8021960714641999	0.669973018429326	0.0	0.0	0.0	0.34205128205128205	7.231282051282052	28.732820512820513	5.0	421.0	574.0	
0	2100	0	n	0.32125507351049676	0.4921541934266024	0.5036683623406939	0.6787449264895044	0.7143837065810248	0.44795669621203565	0.5	0.8728237180620293	0.7210207385853936	0.0	0.0	0.0	0.3433333333333333	7.172380952380952	28.38952380952381	5.0	343.0	511.0	
0	2250	0	n	0.30725144858776454	0.49363072908093614	0.5060614938894568	0.6927485514122367	0.6965485797284569	0.4480266427425141	0.5833333333333334	0.9135054440645087	0.7766738907486859	0.0	0.0	0.0	0.3408888888888889	7.198666666666667	28.28488888888889	13.0	376.0	512.0	
0	2400	0	n	0.3271137802190681	0.49416501578555155	0.5042891068367231	0.6728862197809338	0.6941810360225402	0.4547730947508338	0.5833333333333334	0.9574260743614701	0.8258159590579803	0.0	0.0	0.0	0.3375	7.226666666666667	27.887083333333333	28.0	396.0	523.0	
0	2550	0	n	0.29925758601351055	0.4966703978053498	0.5027750483919112	0.7007424139864942	0.686694207801579	0.4596807093849078	0.6166666666666667	1.0188352785434125	0.8806968152305884	0.0	0.0	0.0	0.3380392156862745	7.248235294117647	27.111764705882354	25.0	429.0	533.0	
0	2700	0	n	0.29224083591979644	0.49582440588303756	0.5049011353456282	0.7077591640802032	0.7169692626614755	0.45434385486745277	0.6978354978354978	1.071310292289853	0.9425600013368186	0.0	0.0	0.0	0.3388888888888889	7.212962962962963	27.06962962962963	28.0	368.0	457.0	
0	2850	0	n	0.29501085853705467	0.4966805299653267	0.5034300931030815	0.7049891414629461	0.7060494515773846	0.45435041634244555	0.7311688311688311	1.1370029525642942	0.9873893847096766	0.0	0.0	0.0	0.3385964912280702	7.237192982456141	26.698947368421052	32.0	380.0	459.0	
0	3000	0	n	0.29413313554803944	0.49286339332419526	0.5037459634289931	0.7058668644519597	0.6951220612955855	0.4662144121615585	0.8097402597402598	1.1833826320002594	1.0381394493110572	0.0	0.0	0.0	0.337	7.268	26.813333333333333	38.0	409.0	471.0	
0	3150	0	n	0.3036798167723663	0.4927457905916614	0.5048132482374704	0.6963201832276349	0.6806555572464597	0.4629007586779308	0.8720007961387272	1.251013912962263	1.0912446003822693	0.0	0.0	0.0	0.3384126984126984	7.2936507936507935	26.825079365079365	43.0	456.0	474.0	
0	3300	0	n	0.2682402693133668	0.4923873658765433	0.5041530639077116	0.7317597306866336	0.7181645253490646	0.4604380578230581	0.8963910400411662	1.3272341162026362	1.1550985936268923	0.0	0.0	0.0	0.3421212121212121	7.263030303030303	27.00030303030303	38.0	386.0	406.0	
0	3450	0	n	0.2945102960548342	0.4959715567580104	0.5043803839872684	0.7054897039451657	0.7112191967856153	0.4585344697495036	1.025304670270586	1.3845112663231636	1.204249716646237	0.0	0.0	0.0	0.3423188405797101	7.282898550724638	26.787246376811595	36.0	392.0	437.0	
0	3600	0	n	0.28523650448909543	0.494087821366693	0.5055609042401847	0.7147634955109047	0.7029425137896124	0.46321620042146705	1.1029727229386384	1.4435444701724514	1.247432145948734	0.0	0.0	0.0	0.3413888888888889	7.296944444444445	27.08416666666667	33.0	394.0	482.0	
0	3750	0	n	0.29721818042275433	0.4931575330933255	0.5042425523721982	0.7027818195772466	0.6861254069877666	0.46192639524997053	1.1429727229386384	1.5155438416644436	1.2913433728945718	0.0	0.0	0.0	0.3413333333333333	7.309866666666666	27.4208	27.0	417.0	517.0	
0	3900	0	n	0.2984981010189255	0.49739539761744633	0.5047324058133147	0.7015018989810727	0.6721271750141354	0.464432607031204	1.2772376166355808	1.5544650889015894	1.3440253690085515	0.0	0.0	0.0	0.33974358974358976	7.322051282051282	27.166923076923077	32.0	445.0	523.0	
0	4050	0	n	0.29642283832258676	0.4923944367962566	0.504296420808912	0.703577161677412	0.7180552021103789	0.4520236970134145	1.338790646938611	1.6079550947635664	1.409295588134096	0.0	0.0	0.0	0.34074074074074073	7.284197530864198	27.05506172839506	37.0	352.0	468.0	
0	4200	0	n	0.29830787587095603	0.49662848464222525	0.5015128133509513	0.7016921241290415	0.6915256912011661	0.45539417968386625	1.5049455589215077	1.6730883084221442	1.4571461800923777	0.0	0.0	0.0	0.3416666666666667	7.305476190476191	26.610238095238095	33.0	371.0	499.0	
0	4350	0	n	0.3437136123784546	0.494856056267962	0.5052853251807659	0.6562863876215441	0.6883776251812467	0.4651719338070833	1.5925786465545952	1.729315616986618	1.5333590086532947	0.0	0.0	0.0	0.34413793103448276	7.325057471264368	26.720689655172414	38.0	365.0	540.0	
0	4500	0	n	0.33204860859909213	0.4954105951753123	0.503065233994618	0.6679513914009082	0.6862157869274162	0.4609774336441518	1.6342453132212618	1.780574346782515	1.5905866025184627	0.0	0.0	0.0	0.3437777777777778	7.334222222222222	26.586666666666666	55.0	343.0	587.0	
0	4650	0	n	0.31071607059629236	0.49578027334364116	0.5019989844131968	0.6892839294037123	0.7066052844809764	0.4470682509304791	1.734518968577124	1.8309469680438537	1.6403649307673756	0.0	0.0	0.0	0.34301075268817205	7.30752688172043	26.308602150537634	43.0	293.0	497.0	
0	4800	0	n	0.28307833522988246	0.492835639474072	0.5036866789921983	0.7169216647701249	0.7045955880065446	0.4499631971372726	1.8475905311608816	1.8990300322796418	1.6730510601037745	0.0	0.0	0.0	0.3416666666666667	7.317083333333334	26.30125	36.0	310.0	529.0	
0	4950	0	n	0.29577386016011337	0.496357867110616	0.5032787120076297	0.7042261398398879	0.6929039908807999	0.4524715315200623	1.9010093345796848	1.9646750383971243	1.7343719621390101	0.0	0.0	0.0	0.3428282828282828	7.3286868686868685	26.114343434343436	53.0	344.0	539.0	
0	5100	0	n	0.3132516763818523	0.4930166690577823	0.5030618426584116	0.6867483236181506	0.6774898419625465	0.4576041105772916	1.9481268512093965	2.036418812072347	1.7755349921124843	0.0	0.0	0.0	0.3423529411764706	7.3398039215686275	26.08823529411765	45.0	370.0	555.0	
0	5250	0	n	0.29196656776110713	0.4937500390108657	0.504522820799179	0.7080334322388958	0.7210449698154776	0.4536826972921523	1.9975170951118355	2.0960125075926173	1.8162334508851334	0.0	0.0	0.0	0.34095238095238095	7.310666666666667	26.107238095238095	43.0	304.0	479.0	
0	5400	0	n	0.3045498510570725	0.4926017469356763	0.5045972494081744	0.6954501489429236	0.7111204967733902	0.4501937078375152	2.0245441221388627	2.145832363366621	1.8923727719122665	0.0	0.0	0.0	0.3422222222222222	7.322777777777778	26.183888888888887	42.0	294.0	527.0	
0	5550	0	n	0.29686995912288483	0.4921584347973169	0.5030170376982189	0.703130040877108	0.6911507653624669	0.4532830208892825	2.102730376877912	2.2099595214045675	1.9572404658882976	0.0	0.0	0.0	0.34378378378378377	7.333333333333333	26.13747747747748	51.0	306.0	553.0	
0	5700	0	n	0.32746067491255065	0.49567536661828326	0.5075773049909669	0.6725393250874415	0.6855257853766379	0.46120521491861766	2.102730376877912	2.2674397507113326	2.0061380433928244	0.0	0.0	0.0	0.3426315789473684	7.342631578947368	26.261228070175438	73.0	344.0	532.0	
0	5850	0	n	0.32616410386175365	0.4950669843677661	0.5021300156549818	0.6738358961382357	0.6796856708366391	0.4571550178801886	2.169591184942081	2.347222624880651	2.0508726767549055	0.0	0.0	0.0	0.3429059829059829	7.3531623931623935	26.18136752136752	97.0	332.0	571.0	
0	6000	0	n	0.2678785651547507	0.4952353828920884	0.5017807719266129	0.7321214348452328	0.7109126358550518	0.45542522031014304	2.1929948645957604	2.3978146758059915	2.1077275943879514	0.0	0.0	0.0	0.3421666666666667	7.334	26.108333333333334	75.0	279.0	500.0	
0	6150	0	n	0.30801837756252276	0.49030135487657406	0.5052231897385394	0.6919816224374659	0.700252217336834	0.44967064881311114	2.274765366890034	2.452983915762949	2.1579414944920976	0.0	0.0	0.0	0.34195121951219515	7.341463414634147	26.276260162601627	70.0	266.0	548.0	
0	6300	0	n	0.2779781929800119	0.49196707516280985	0.5053090157691292	0.7220218070199708	0.7080131784858283	0.44622590911198673	2.315957508082175	2.4911012702352653	2.212137858101699	0.0	0.0	0.0	0.34095238095238095	7.34984126984127	26.335238095238097	61.0	254.0	630.0	
