% Base Parameters: Dims = 5, predfreq = .1, huntsteps = 1000, hetfreq = .1, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 3, basevig = .001, vigilance = true, vigprop = .3, indvprop = .3, mutrate = .001, fthresh = 150, stayforage = 1, foragediff = .01, localbirth = false, minlifespan = 200, lifespanrange = 0, learnalg = n, lrate = .001, 

% Test Parameters:
%learnalg = [n, r]
%lrate = [.001, .01, .1]
% 	Parameters		Results
Seed	learnalg	lrate	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	VigPredCost	IndPredCost	SocPredCost	VigForageCost	IndForageCost	SocForageCost	VigOffspring	IndOffspring	SocOffspring	VigLifespan	IndLifespan	SocLifespan	PredRate	ReprodRate	FAlarmRate	vigcount	indcount	soccount	
0	n	.01	0.41136258353710303	0.44793037832042804	0.6178148146955078	0.5886374164628969	0.5740119055751715	0.4812430212834432	0.0	0.0	0.0	1.0	1.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.8926174496644296	1.0	1.0	1.0	
1	n	.01	0.4415298313822478	0.5767330361578414	0.5571795325244803	0.5584701686177522	0.6630542406538915	0.5531843013671571	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.5637583892617449	1.0	1.0	1.0	
2	n	.01	0.4804868228845399	0.4377188251184601	0.5743997150042508	0.5195131771154601	0.6152557962137446	0.5346278459442425	0.0	0.0	0.0	2.0	1.0	1.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.7315436241610739	1.0	1.0	1.0	
3	n	.01	0.4670772884130394	0.4654972886375426	0.6346420128556408	0.5329227115869606	0.5379276590767784	0.5576823264505918	0.0	0.0	0.0	0.0	1.0	2.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.697986577181208	1.0	1.0	1.0	
4	n	.01	0.38175576020811236	0.4693385019630962	0.5816626283340166	0.6182442397918877	0.6042666983158957	0.4373647701065739	0.0	0.0	0.0	2.0	0.0	4.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.5838926174496645	1.0	1.0	1.0	
5	n	.01	0.4524503866940559	0.4137581703610564	0.5793571278676165	0.547549613305944	0.5334116631708357	0.44332677925924124	0.0	0.0	0.0	0.0	0.0	2.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.7986577181208053	1.0	1.0	1.0	
6	n	.01	0.35736041949840613	0.5042242020013549	0.511593524573852	0.6426395805015939	0.691774488974786	0.5795152457183375	0.0	0.0	0.0	1.0	2.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.5100671140939598	1.0	1.0	1.0	
7	n	.01	0.5387541410829175	0.5061392861109327	0.5781556222483176	0.46124585891708253	0.4804623664052888	0.43411605273331805	0.0	0.0	0.0	1.0	1.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.7986577181208053	1.0	1.0	1.0	
8	n	.01	0.36678313360780085	0.6037373152365232	0.5961472681115659	0.6332168663921991	0.64302261369221	0.4780056774360657	0.0	0.0	0.0	0.0	1.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.4899328859060403	1.0	1.0	1.0	
9	n	.01	0.24987516698633708	0.5334882172535617	0.5719606240278521	0.7501248330136628	0.475357733236049	0.41721216622565155	0.0	0.0	0.0	0.0	1.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.6778523489932886	1.0	1.0	1.0	
