Base Parameters: PredFreq = 0, AccAlarm = 1, FAlarm = 0, PredDet = 1, AlarmDet = 1, ConDet = 1, PopThresh = 1000, VigProp = .334, IndProp = .333, MutRate = .001, FThresh = 100, PredForage = .01, PredFlee = 0, LearnAlg = n, 

Test Parameters:
PredFreq = [0, .0005, .0006, .0007, .0008, .0009, .001, .002, .003, .004, .005]
PredFreq
0	0.9999747421279298	0.9999747421108534	0.9999747421284237	
.0005	0.9986428253434965	0.9998065376370766	0.9998669493991128	
.0006	0.9993818392502154	0.999902809746824	0.9999025917922889	
.0007	0.9991954050123637	0.9998467811123843	0.9998785330654318	
.0008	0.9986818629995966	0.9998745204671554	0.9996978180473128	
.0009	0.9988846494643264	0.9999109154315962	0.9998933347459245	
.001	0.9989183021085897	0.9997965673632374	0.9996729883588699	
.002	Infinity	0.9999050493856603	0.9998331414054865	
.003	-Infinity	0.999885626469056	0.9998783462070142	
.004	Infinity	0.999809849093152	0.9997387798484888	
.005	Infinity	0.9998703323868465	0.9998644451735708	
