Base Parameters: PredFreq = 0, AccAlarm = 1, FAlarm = 0, PredDet = 1, AlarmDet = 1, ConDet = 1, PopThresh = 1000, VigProp = .334, IndProp = .333, MutRate = .001, FThresh = 100, PredForage = .01, PredFlee = 0, LearnAlg = n, 

Test Parameters:
PredFreq = [0, .0005, .0006, .0007, .0008, .0009, .001, .002, .003, .004, .005]
PredFreq
0	2.525786930792865E-5	0.5	0.5	
.0005	0.0013571746568277914	0.8816196617246924	0.8890997491156928	
.0006	6.181607505432494E-4	0.8956472982979291	0.9083344728196504	
.0007	8.045949815932645E-4	0.9077290574678932	0.9068691536022742	
.0008	0.0013181370046018222	0.9311622589086531	0.9244646387376696	
.0009	0.0011153505578618118	0.9338749371382093	0.934780338056163	
.001	0.0010816978794738234	0.9331328338361092	0.9363018661812712	
.002	-Infinity	0.9680441409805013	0.9665914627139102	
.003	-Infinity	0.9744679361170034	0.9763886760669338	
.004	-Infinity	0.9755828958356034	0.9754278137297262	
.005	Infinity	0.9808240767586179	0.9818220063361336	
