Base Parameters: PredFreq = .001, AccAlarm = 1, FAlarm = 0, PredDet = 1, AlarmDet = 1, ConDet = 1, PopThresh = 1000, VigProp = .334, IndProp = .333, MutRate = .001, FThresh = 100, PredForage = .01, PredFlee = 0, LearnAlg = n, Steps = .01, 

Test Parameters:
LearnAlg = [n, r]
Steps = [.01, .02, .03, .04, .05, .06, .07, .08, .09, .1]
[.001, 1, 0, 1, 1, 1, 1000, .334, .333, .001, 100, .01, 0, n, .01]
Population			Learning with Alarm			Learning without Alarm
vigilance only	individual learning	social learning	vigilance only	individual learning	social learning	vigilance only	individual learning	social learning	
334.0	333.0	333.0	0.5	0.5	0.5	0.5	0.5	0.5	
332.0	334.0	334.0	0.003828156031381759	0.5325595752614972	0.5329221298086196	0.9961718439684529	0.9972185928138828	0.9973764502034241	
324.0	339.0	337.0	0.003347251472726965	0.6011145973619191	0.6005434895758772	0.9966527485272073	0.9978557204323834	0.9977852142194283	
317.0	344.0	339.0	0.002630022538770435	0.6345224629689098	0.635544926622381	0.9973699774611412	0.9986281255491188	0.9982661522550387	
308.0	351.0	341.0	0.0070330194691562	0.677156907953356	0.675909365311266	0.992966980530516	0.9980970500352625	0.9961840992782524	
294.0	352.0	354.0	0.002127127438574261	0.7060681906642761	0.6993667619165327	0.9978728725611831	0.9988720337329995	0.9988680196451001	
294.0	349.0	357.0	0.002230646380338404	0.7171811225024991	0.7097035611425033	0.9977693536194522	0.9993297104432701	0.9989960796197572	
293.0	352.0	355.0	0.0013267739078527397	0.7276942322540875	0.7235790374064811	0.9986732260918096	0.9994286397887792	0.9994819524381835	
292.0	347.0	361.0	0.0040191461971976145	0.7525867413203601	0.7487737050297771	0.9959808538024258	0.9990338782267535	0.9988752729301078	
287.0	354.0	359.0	0.0028540322059422986	0.7609101937439272	0.7583445299913201	0.9971459677936438	0.9989826008279429	0.9990025686842356	
281.0	354.0	365.0	0.0015258403478520628	0.767371938334991	0.7610392222789516	0.9984741596517152	0.9994219524873226	0.9991245182417194	
278.0	359.0	363.0	0.0017024924687545758	0.7765637612433206	0.7767721774899449	0.998297507530756	0.9994135277629937	0.9994936483552875	
280.0	356.0	364.0	0.002503506757473533	0.7861721443985742	0.7847495750947421	0.9974964932421175	0.9992824846426108	0.9992926227327931	
279.0	360.0	361.0	0.0016591746023980453	0.7897804432752626	0.7923259631474142	0.9983408253972852	0.9995379656211543	0.9995744572248537	
277.0	359.0	364.0	0.0016737591178619742	0.7984662808328173	0.7972089757844173	0.9983262408817525	0.9995089705046727	0.9995586328492452	
272.0	358.0	370.0	0.0012324154634751451	0.8031367544447301	0.8000494224158339	0.9987675845360201	0.9996571322874588	0.9996257429990816	
270.0	360.0	370.0	0.001904956065899319	0.80880981024904	0.8087247707826772	0.9980950439335162	0.9996576321567142	0.9996487138325976	
269.0	361.0	370.0	0.002510287923536871	0.8182634257900134	0.8193638084432114	0.9974897120760439	0.9993634033757327	0.9996993839227741	
264.0	360.0	376.0	0.0015826626734429647	0.82647785057341	0.8226193745070812	0.9984173373262047	0.9996045270486538	0.9995946756148746	
257.0	366.0	377.0	0.0018104907573889472	0.8259335518815399	0.826059056116933	0.9981895092423351	0.9995453172251937	0.9995872185015576	
253.0	366.0	381.0	0.0014557296630038515	0.8324519555967927	0.8284744527412439	0.9985442703367723	0.9996166029392668	0.999621404049725	
246.0	370.0	384.0	0.004069251558905869	0.8287680225035395	0.8297674396120409	0.9959307484407712	0.9989578547258656	0.9967359204506042	
239.0	370.0	391.0	0.0010405002347309736	0.8343628104053756	0.8283836264614469	0.9989594997648844	0.9997644709168383	0.9996728408473131	
231.0	374.0	395.0	0.0016981661199951046	0.8419201660607123	0.8322927587366457	0.998301833879688	0.9996906405716972	0.9995561175437013	
226.0	375.0	399.0	0.0012026994235848	0.8439913939030745	0.8316580237095907	0.9987973005761281	0.9997185903092013	0.9995290560748309	
218.0	378.0	404.0	0.0011402756324643535	0.8417025325185374	0.831635429937904	0.9988597243672728	0.9996523298603859	0.9996664757500209	
212.0	386.0	402.0	0.002237336659718716	0.8417678224090757	0.8420869452999751	0.9977626633399546	0.9995222585575475	0.9997064848866355	
208.0	391.0	401.0	0.001779493657106945	0.844531594845766	0.8470511740469282	0.99822050634255	0.9996012812082935	0.9996622505938979	
198.0	395.0	407.0	0.0024464195407862296	0.847793658233438	0.8464067013121093	0.997553580458856	0.9993828563590065	0.9993291192116659	
189.0	400.0	411.0	0.001298249112030412	0.8532806666395257	0.8503707492861268	0.9987017508876104	0.9995781183681219	0.9996949510333716	
180.0	402.0	418.0	0.002063668555864055	0.851819677080822	0.8460806909139665	0.9979363314436489	0.9985110153945426	0.9977983747675233	
175.0	402.0	423.0	0.0014398450732293951	0.8559987662524726	0.8497319440678873	0.9985601549263109	0.9997364115751183	0.9996924214468373	
179.0	392.0	429.0	0.0013576403498746256	0.8651318442948592	0.8500492654228633	0.9986423596497083	0.9996950736764072	0.99964874144046	
160.0	399.0	441.0	0.00559947894502037	0.8643859207311537	0.8481269340267763	0.9944005210544675	0.9993929105892094	0.997246688529292	
152.0	400.0	448.0	0.0016235845794991184	0.8674481893040773	0.8492592754505527	0.9983764154200879	0.998896764244123	0.9988327145796313	
140.0	405.0	455.0	0.0031849249330481344	0.8670774713566765	0.8521082117200132	0.996815075066559	0.9995275407044998	0.9992495314645473	
136.0	405.0	459.0	0.0013481132455779583	0.869116295341517	0.8524030756618936	0.9986518867540513	0.9997542351071648	0.9996246206739214	
127.0	410.0	463.0	0.0013852913789979447	0.8702134780858314	0.854637919793632	0.9986147086205835	0.9997410181888902	0.9996728554411185	
117.0	415.0	468.0	0.0013916291347303728	0.87133363163112	0.8535728082752871	0.9986083708647695	0.9993031654939128	0.9989925131263969	
109.0	421.0	470.0	0.00209781606037059	0.8711356869392172	0.8547765167465928	0.9979021839390507	0.9994477112248837	0.9994650023216485	
102.0	422.0	476.0	0.001931210623804296	0.8718978286219983	0.8571076476470113	0.998068789375563	0.9996424204241144	0.9995662622996632	
97.0	425.0	478.0	0.0019525701979786795	0.8742950137278773	0.8632054602277995	0.998047429801376	0.9997267052762963	0.9996391928145424	
90.0	432.0	478.0	0.0049207166960699876	0.8706431301743338	0.867223151412339	0.9950792833032801	0.9971081547017214	0.9992765413131723	
90.0	434.0	476.0	0.0015994674012299987	0.8728268724035158	0.8725020146059265	0.9984005325980513	0.9996062409492739	0.9997354242218471	
90.0	435.0	475.0	0.0017965584040975625	0.8783103942373712	0.8782288618092025	0.9982034415952425	0.9997035545976092	0.9998061171803578	
88.0	436.0	476.0	0.0012349530950449908	0.8786262470433781	0.8788792263956208	0.9987650469042872	0.9997189210860882	0.9996827945453853	
81.0	441.0	478.0	0.002436348415092828	0.8791925338852591	0.879331751625314	0.9975636515841994	0.9994938271558543	0.9996387238851573	
74.0	445.0	481.0	0.0014031995261758598	0.8788550735836251	0.8778171585855489	0.9985968004730563	0.9997352765588751	0.9997332413492146	
69.0	444.0	487.0	0.0032283684751866653	0.8809401911723385	0.8779819758091396	0.9967716315240139	0.9992233116419037	0.9995418970509111	
63.0	445.0	492.0	0.0014157288325735116	0.8813416588714947	0.8787694609581321	0.9985842711665398	0.9997524637050247	0.9997589625604442	
60.0	448.0	492.0	0.0016510775206265702	0.882473802613198	0.8833913365656958	0.9983489224784312	0.9995040351315997	0.9997651214568314	
58.0	450.0	492.0	0.008844046932042693	0.8849570100376324	0.887134616526933	0.991155953066948	0.9996125903441815	0.9990225377664552	
