% Base Parameters: Dims = 100, predfreq = .001, huntsteps = 1, hetfreq = .1, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 1000, basevig = .001, vigilance = true, vigprop = .334, indvprop = .333, mutrate = .001, fthresh = 25, fleeforage = 0, stayforage = .1, localbirth = false, minlifespan = 125, lifespanrange = 50, learnalg = n, lrate = .01, 

% Test Parameters:
%predfreq = [.001, .01, .1]
%huntsteps = [1, 10, 100, 100000]
%fleeforage = [0, .5, 1]
%stayforage = [.1, .5, 1]
% 	Parameters				Results
Seed	predfreq	huntsteps	fleeforage	stayforage	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	VigPredCost	IndPredCost	SocPredCost	VigForageCost	IndForageCost	SocForageCost	PredRate	ReprodRate	FAlarmRate	vigcount	indcount	soccount	
9	.001	1	0	.5	0.2962253705916597	0.4989909213559722	Infinity	0.7037746294084222	0.7051876006674771	Infinity	1.8439900201493475	1.6939493339204357	3.185020848660905	19128.273838067733	19142.871118516156	12868.374346397675	0.05845896147403685	7.951658291457287	1.741139028475712	247.0	749.0	0.0	
10	.001	1	0	.5	0.287097230709025	0.4990481206432096	Infinity	0.7129027692909019	0.7122868566759065	-Infinity	1.7559830799250358	1.7531674585805608	0.3440860215053763	19128.75611493377	19144.62739859147	12841.422482478267	0.05862646566164154	7.92750418760469	1.6020435510887772	650.0	349.0	0.0	
1	.001	1	0	1	0.2963315018410855	0.4989468191363952	-Infinity	0.7036684981589603	0.7054595630128704	-Infinity	1.6828878405166554	1.719000627913541	0.8963777803972951	8649.731248946448	8659.760146223449	8246.401024752668	0.05715242881072027	7.974103852596315	1.3607370184254606	604.0	395.0	0.0	
2	.001	1	0	1	0.29632137183142704	0.49928198985200445	0.5000000000001208	0.70367862816844	0.702522818845593	0.5138545518795735	1.6502034356998254	1.712686283599415	1.0146171607153147	8645.55409667091	8669.687337368916	9276.023238293137	0.055845896147403686	7.971155778894472	1.0236180904522614	745.0	254.0	1.0	
3	.001	1	0	1	0.2958538775760042	0.4991569019742429	0.4999999999999927	0.7041461224241777	0.7104561529831629	0.5394502652229175	1.7636276280279315	1.7234835469267709	0.03870087999336908	8650.633230773174	8660.304315432555	9196.228618723182	0.05822445561139029	7.976180904522613	1.382713567839196	478.0	518.0	4.0	
4	.001	1	0	1	0.28825736668784874	0.49979054841038395	0.49999999999999933	0.7117426333120114	0.7108846728162858	0.4510948779122557	1.7769797755629346	1.629588275080855	0.4854079509251923	8645.451489891335	8656.972932884437	8666.054909466906	0.05819095477386935	7.971323283082077	0.8653936348408711	676.0	321.0	2.0	
5	.001	1	0	1	0.2899187947870408	0.5000101231124905	0.5000000000000171	0.7100812052131311	0.7120753953166855	0.4904953122670407	1.7249289630674938	1.8154046921674671	1.5286714628306393	8644.26590048187	8662.679293633586	10283.622678353344	0.05932998324958124	7.981742043551089	1.256750418760469	663.0	332.0	4.0	
6	.001	1	0	1	0.28875209114313727	0.499770963644023	0.5000000000000077	0.711247908856486	0.7057736995747197	0.4795562765421251	1.7181369364171042	1.7749622410917938	1.3110300039707492	8640.23247099823	8664.63962331184	8490.254037762856	0.05822445561139029	7.972194304857622	1.5501507537688441	626.0	370.0	3.0	
7	.001	1	0	1	0.31586598274319067	0.4992325821879485	-Infinity	0.6841340172566598	0.7022753807353207	Infinity	1.6836774527820917	1.6944222351916736	1.3802175064255449	8626.780949226677	8671.68653962561	8849.557322312965	0.05651591289782244	7.982445561139029	2.8785594639865995	43.0	955.0	0.0	
8	.001	1	0	1	0.289130008458995	0.4989815503144677	0.4999999999999569	0.7108699915410586	0.7152345733280863	0.5635427629114965	1.591225517888725	1.70587507219911	0.39467030574793355	8636.602478485127	8673.941884065778	9787.880111913268	0.05601340033500837	7.971256281407035	2.515644891122278	250.0	749.0	1.0	
9	.001	1	0	1	0.2904145279691339	0.4988191332444779	Infinity	0.7095854720307769	0.7002367435727288	Infinity	1.7531926704010832	1.7277500440527092	0.9336296946037488	8643.952704618458	8657.936254983644	10023.844797588037	0.058693467336683416	7.966465661641541	0.8326298157453936	723.0	277.0	0.0	
10	.001	1	0	1	0.29314663867914115	0.4982073173604977	0.5000000000000069	0.7068533613210362	0.7062271681826985	0.531881499219437	1.6526742004570711	1.5491884535596072	0.8831967213114754	8636.75998368989	8671.679155277068	8578.570336392477	0.053534338358458965	7.966666666666667	1.594572864321608	649.0	348.0	2.0	
1	.001	1	.5	.1	Infinity	-Infinity	Infinity	-Infinity	-Infinity	-Infinity	0.003257328990228013	0.020833333333333332	0.07815714786318079	993.6080759380817	988.1737546714843	1473.9363682393507	4.6901172529313233E-4	0.08030150753768844	0.005527638190954774	0.0	0.0	0.0	
2	.001	1	.5	.1	-Infinity	Infinity	NaN	Infinity	Infinity	Infinity	0.01722276616793644	0.03940893438319895	0.07697296234471719	863.6279801395115	1061.3499556309066	1149.435351812685	0.0010385259631490787	0.07353433835845896	0.02505862646566164	0.0	0.0	0.0	
