% Base Parameters: Dims = 100, predfreq = .001, huntsteps = 1, hetfreq = .1, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 1000, basevig = .001, vigilance = true, vigprop = .334, indvprop = .333, mutrate = .001, fthresh = 25, fleeforage = 0, stayforage = .1, localbirth = true, minlifespan = 125, lifespanrange = 50, learnalg = r, lrate = .01, 

% Test Parameters:
%predfreq = [.001, .01, .1]
%huntsteps = [1, 10, 100, 100000]
%fleeforage = [0, .5, 1]
%stayforage = [.1, .5, 1]
% 	Parameters				Results
Seed	predfreq	huntsteps	fleeforage	stayforage	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	VigPredCost	IndPredCost	SocPredCost	VigForageCost	IndForageCost	SocForageCost	PredRate	ReprodRate	FAlarmRate	vigcount	indcount	soccount	
9	.001	1	0	.5	0.2788904540258887	0.4998324179922487	Infinity	0.7211095459619314	0.7252396151915547	Infinity	1.049515162742298	1.0566193596994577	0.3507745550342098	18848.950441711404	18851.659788908015	15113.470729017776	0.035142378559463984	7.931524288107203	1.0475041876046902	535.0	461.0	0.0	
10	.001	1	0	.5	0.26961084924276263	0.49999999999999906	0.49999999999999467	0.7303891507490167	0.7149542875840443	0.5100969014355872	1.1967558800019726	1.2002794755287234	0.34004474272930646	18851.080969154144	18858.768450425454	15054.897722759591	0.03896147403685092	7.93537688442211	1.12536013400335	669.0	326.0	4.0	
1	.001	1	0	1	0.2750782994698629	0.49947769911604056	0.4999999999999991	0.7249217005098724	0.7266767481937845	0.5461973698522218	1.0870917118911785	0.8283669770686946	1.3611930814421362	8088.839718384525	8096.972884772433	8837.241084449686	0.03293132328308208	7.968978224455611	0.7449916247906198	312.0	687.0	1.0	
2	.001	1	0	1	0.26541550848952483	0.499762891943219	Infinity	0.7345844913628554	0.7279647276456844	Infinity	1.2291938006271852	0.7364889743814714	0.05090603960034402	8056.241948107741	8089.63575137722	8946.363819655953	0.02927973199329983	7.952696817420436	1.115745393634841	4.0	995.0	0.0	
3	.001	1	0	1	0.2846928573479682	0.49879120436576274	0.4999999999999676	0.7153071426208432	0.7290321098989481	0.35734497346126376	1.1415863514343447	0.7985725674207051	0.2840867992766727	8081.7807178839075	8088.636574580486	12059.928835234616	0.030653266331658293	7.960837520938023	0.76428810720268	225.0	773.0	2.0	
4	.001	1	0	1	0.27806083991349045	0.49956128844845404	0.5000000000000007	0.7219391600718114	0.727430746975846	0.45001613869239543	1.2386060449789624	1.338475100098033	1.0160157048031886	8094.967218743157	8111.592097903441	9700.753832962904	0.044020100502512566	7.979128978224455	1.3679396984924623	399.0	594.0	7.0	
5	.001	1	0	1	0.2757110023952643	0.49969812712053346	0.5000000000000426	0.7242889975231629	0.7246127996061887	0.49604957655905346	1.413579347949422	0.7881509829918653	1.409627113111966	8088.410807642234	8093.389268831298	9403.67359079223	0.04234505862646566	7.963785594639866	0.3033500837520938	793.0	206.0	1.0	
6	.001	1	0	1	0.2743173405155591	0.49999999999999606	-Infinity	0.7256826594536525	0.7208207111914393	Infinity	0.7380766579167255	0.52077981909909	1.1366076355808783	8087.213375593435	8081.864709529215	9453.603181276376	0.02234505862646566	7.96284757118928	0.518358458961474	841.0	159.0	0.0	
7	.001	1	0	1	0.26971941759405915	0.49989885217554236	-Infinity	0.7302805823866345	0.7230276827959314	Infinity	1.039133580372343	0.8872405250667834	2.055964705840393	8087.925088779578	8091.974440517649	9427.397066423104	0.03323283082077052	7.965192629815745	0.8338693467336683	340.0	660.0	0.0	
8	.001	1	0	1	0.277543758939945	0.4998042408543258	0.49999999999994493	0.7224562410529903	0.7262097328908963	0.4824018934677561	1.3027018932222068	0.8291063559720953	0.5280848243363988	8088.22873106234	8103.666038820415	8940.910725438573	0.03239530988274707	7.972194304857622	1.0039530988274707	434.0	565.0	1.0	
