% Base Parameters: Dims = 100, predfreq = .004, huntsteps = 4, hetfreq = .01, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 1000, vigilance = true, vigprop = .333, indvprop = .333, mutrate = .001, fthresh = 25, localbirth = false, learnalg = b, lrate = .01, 

% Test Parameters:
%vigilance = [true, false]
% 	Parameters	Results
Timestep	vigilance	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	vigcount	indcount	soccount	
% [100, .004, 4, .01, 1, 0, 1, 1, 1, 2, 4, 2, 4, 2, true, 1000, true, .333, .333, .001, 25, false, b, .01]
540000	true	0.0	0.4375	0.42119275825346114	1.0	1.0	0.9989350372736954	53.0	8.0	939.0	
550000	true	0.0	0.35	0.4257854821235103	1.0	1.0	0.9989165763813651	67.0	10.0	923.0	
560000	true	0.0	0.3333333333333333	0.39945652173913043	1.0	1.0	1.0	56.0	24.0	920.0	
570000	true	0.0	0.3793103448275862	0.42669584245076586	1.0	1.0	0.9983588621444202	57.0	29.0	914.0	
580000	true	0.0	0.391304347826087	0.4302575107296137	1.0	1.0	1.0	45.0	23.0	932.0	
590000	true	0.0	0.5	0.4263322884012539	1.0	1.0	1.0	33.0	10.0	957.0	
600000	true	0.0	0.5	0.4298969072164949	1.0	1.0	1.0	28.0	2.0	970.0	
610000	true	0.0	0.25	0.4298245614035088	1.0	1.0	1.0	29.0	2.0	969.0	
620000	true	0.0	0.25	0.42908902691511386	1.0	1.0	1.0	32.0	2.0	966.0	
630000	true	0.0	NaN	0.4029774127310062	1.0	NaN	1.0	26.0	0.0	974.0	
640000	true	0.0	0.0	0.42145790554414786	1.0	1.0	1.0	25.0	1.0	974.0	
650000	true	0.0	0.4166666666666667	0.43350515463917527	1.0	1.0	0.9994845360824742	24.0	6.0	970.0	
660000	true	0.0	0.5	0.4491173416407061	1.0	1.0	1.0	29.0	8.0	963.0	
670000	true	0.0	0.36363636363636365	0.43222106360792495	1.0	1.0	0.9994786235662148	30.0	11.0	959.0	
680000	true	0.0	0.3333333333333333	0.43101659751037347	1.0	1.0	1.0	27.0	9.0	964.0	
690000	true	0.0	0.3181818181818182	0.4170168067226891	1.0	1.0	0.9994747899159664	37.0	11.0	952.0	
700000	true	0.0	0.38235294117647056	0.42547568710359407	1.0	1.0	1.0	37.0	17.0	946.0	
710000	true	0.0	0.4	0.4317226890756303	1.0	1.0	1.0	38.0	10.0	952.0	
720000	true	0.0	0.5	0.4196058091286307	1.0	1.0	1.0	35.0	1.0	964.0	
730000	true	0.0	NaN	0.4382780082987552	1.0	NaN	1.0	36.0	0.0	964.0	
740000	true	0.0	NaN	0.4468421052631579	1.0	NaN	0.9994736842105263	50.0	0.0	950.0	
750000	true	0.0	NaN	0.43125	1.0	NaN	0.9994791666666667	40.0	0.0	960.0	
760000	true	0.010416666666666666	NaN	0.4227941176470588	0.9895833333333334	NaN	0.9994747899159664	48.0	0.0	952.0	
770000	true	0.0	0.3333333333333333	0.40588235294117647	1.0	1.0	1.0	62.0	3.0	935.0	
780000	true	0.0	0.5	0.3992497320471597	1.0	1.0	0.9994640943193998	66.0	1.0	933.0	
790000	true	0.0	NaN	0.4161255411255411	1.0	NaN	1.0	76.0	0.0	924.0	
800000	true	0.0	NaN	0.41318327974276525	1.0	NaN	0.9994640943193998	67.0	0.0	933.0	
810000	true	0.0	NaN	0.44456521739130433	1.0	NaN	0.9994565217391305	80.0	0.0	920.0	
820000	true	0.0	NaN	0.4453376205787781	1.0	NaN	1.0	67.0	0.0	933.0	
830000	true	0.0	NaN	0.4309782608695652	1.0	NaN	1.0	80.0	0.0	920.0	
840000	true	0.0	NaN	0.4261931187569367	1.0	NaN	1.0	99.0	0.0	901.0	
850000	true	0.0	NaN	0.43578485181119647	1.0	NaN	1.0	89.0	0.0	911.0	
860000	true	0.0	NaN	0.43895671476137627	1.0	NaN	1.0	99.0	0.0	901.0	
870000	true	0.0	NaN	0.4373589164785553	1.0	NaN	1.0	114.0	0.0	886.0	
880000	true	0.0	NaN	0.41815144766146994	1.0	NaN	1.0	102.0	0.0	898.0	
890000	true	0.0	NaN	0.4143990929705215	1.0	NaN	1.0	118.0	0.0	882.0	
900000	true	0.0	NaN	0.4133109619686801	1.0	NaN	1.0	106.0	0.0	894.0	
910000	true	0.0	0.5	0.4150622876557191	1.0	1.0	1.0	114.0	3.0	883.0	
920000	true	0.0	0.5	0.42151481888035125	1.0	1.0	1.0	85.0	4.0	911.0	
930000	true	0.0	0.5	0.42358078602620086	1.0	1.0	1.0	68.0	16.0	916.0	
940000	true	0.0	0.36363636363636365	0.4309210526315789	1.0	1.0	1.0	66.0	22.0	912.0	
950000	true	0.0	0.47368421052631576	0.444994499449945	1.0	1.0	1.0	72.0	19.0	909.0	
960000	true	0.0	0.3409090909090909	0.42741061755146265	1.0	1.0	0.9994582881906826	55.0	22.0	923.0	
970000	true	0.0	0.4	0.4206783369803063	1.0	1.0	0.99945295404814	61.0	25.0	914.0	
980000	true	0.0	0.3333333333333333	0.4325053995680346	1.0	1.0	1.0	53.0	21.0	926.0	
990000	true	0.0	0.3235294117647059	0.4229098805646037	1.0	1.0	1.0	62.0	17.0	921.0	
% [100, .004, 4, .01, 1, 0, 1, 1, 1, 2, 4, 2, 4, 2, true, 1000, false, .333, .333, .001, 25, false, b, .01]
0	false	NaN	0.5	0.5	NaN	0.5	0.5	0.0	666.0	334.0	
10000	false	NaN	0.3381742738589212	0.4413702239789196	NaN	1.0	1.0	0.0	241.0	759.0	
20000	false	NaN	0.3416149068322981	0.4225268176400477	NaN	1.0	1.0	0.0	161.0	839.0	
30000	false	NaN	0.38461538461538464	0.42532088681446906	NaN	1.0	0.9988331388564761	0.0	143.0	857.0	
40000	false	NaN	0.4117647058823529	0.4409722222222222	NaN	1.0	0.9988425925925926	0.0	136.0	864.0	
50000	false	NaN	0.39928057553956836	0.445993031358885	NaN	1.0	1.0	0.0	139.0	861.0	
60000	false	NaN	0.40714285714285714	0.438953488372093	NaN	1.0	1.0	0.0	140.0	860.0	
70000	false	NaN	0.3935483870967742	0.4319526627218935	NaN	1.0	1.0	0.0	155.0	845.0	
80000	false	NaN	0.4395973154362416	0.43595769682726204	NaN	1.0	1.0	0.0	149.0	851.0	
90000	false	NaN	0.4	0.4264367816091954	NaN	1.0	1.0	0.0	130.0	870.0	
100000	false	NaN	0.3897058823529412	0.4201388888888889	NaN	1.0	0.9988425925925926	0.0	136.0	864.0	
110000	false	NaN	0.4188034188034188	0.4302721088435374	NaN	1.0	0.9994331065759637	0.0	117.0	882.0	
120000	false	NaN	0.398989898989899	0.4184239733629301	NaN	1.0	1.0	0.0	99.0	901.0	
130000	false	NaN	0.4349593495934959	0.4418472063854048	NaN	1.0	1.0	0.0	123.0	877.0	
140000	false	NaN	0.4069767441860465	0.43742824339839265	NaN	1.0	1.0	0.0	129.0	871.0	
150000	false	NaN	0.43700787401574803	0.44673539518900346	NaN	1.0	1.0	0.0	127.0	873.0	
160000	false	NaN	0.375	0.4363095238095238	NaN	1.0	0.9994047619047619	0.0	160.0	840.0	
170000	false	NaN	0.42073170731707316	0.4276315789473684	NaN	1.0	1.0	0.0	164.0	836.0	
180000	false	NaN	0.45054945054945056	0.43092909535452323	NaN	1.0	1.0	0.0	182.0	818.0	
190000	false	NaN	0.39095744680851063	0.43103448275862066	NaN	0.9973404255319149	1.0	0.0	188.0	812.0	
200000	false	NaN	0.39847715736040606	0.44707347447073476	NaN	1.0	1.0	0.0	197.0	803.0	
