% Base Parameters: Dims = 100, predfreq = .004, huntsteps = 4, hetfreq = .01, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 1000, vigilance = true, vigprop = .333, indvprop = .333, mutrate = .001, fthresh = 25, localbirth = false, learnalg = n, lrate = .01, 

% Test Parameters:
%vigilance = [true, false]
%learnalg = [n, r, b]
% 	Parameters		Results
Timestep	vigilance	learnalg	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	vigcount	indcount	soccount	
% [100, .004, 4, .01, 1, 0, 1, 1, 1, 2, 4, 2, 4, 2, true, 1000, true, .333, .333, .001, 25, false, n, .01]
0	true	n	0.5	0.5	0.5	0.5	0.5	0.5	333.0	333.0	334.0	
10000	true	n	0.02579018989605523	0.4913687774870617	0.4993057652156125	0.9742098101039234	0.9716490703875098	0.880804665604958	367.0	393.0	240.0	
20000	true	n	0.021152826220727814	0.48639034436301376	0.49682526532207505	0.9788471737791479	0.975959768898453	0.9019701099376576	382.0	438.0	180.0	
30000	true	n	0.02147393144035918	0.4867348274326893	0.49691758131764935	0.9785260685595853	0.9777130098086431	0.9048830088618035	396.0	436.0	168.0	
40000	true	n	0.021387281080014416	0.4892493048191001	0.4945113323408581	0.9786127189199157	0.9793198784540033	0.9242857158058041	380.0	487.0	133.0	
50000	true	n	0.021906031250843845	0.49199212170355366	0.4926658592576664	0.9780939687490603	0.9771708785811232	0.9295408597349363	391.0	514.0	95.0	
60000	true	n	0.019756656761137584	0.49306894525244516	0.4907606381021985	0.9802433432387492	0.9788056598454162	0.9288528821697697	339.0	567.0	94.0	
70000	true	n	0.01945066348492196	0.4889704163187126	0.496358631931577	0.980549336514999	0.983225816186873	0.9316484611445003	311.0	581.0	108.0	
80000	true	n	0.019346704612399273	0.4871780666191682	0.49064826225519137	0.980653295387632	0.977810949912539	0.9318470336682646	339.0	553.0	108.0	
90000	true	n	0.02158729873641918	0.48532280557342966	0.4955248086252625	0.9784127012635884	0.9804516452872637	0.9328052012517739	330.0	594.0	76.0	
100000	true	n	0.016079307195117083	0.48994084899471646	0.502464037376552	0.9839206928049974	0.9833774686404081	0.9470161625740456	386.0	552.0	62.0	
110000	true	n	0.023591246353946854	0.48954694403827526	0.4923928377015411	0.9764087536460448	0.9757962825594316	0.9160356380453764	382.0	574.0	44.0	
120000	true	n	0.02327772636842238	0.48851813895208207	0.5004185994876671	0.9767222736315816	0.9789022469201195	0.9368813819286439	414.0	548.0	38.0	
130000	true	n	0.0209086500834557	0.4905464841832244	0.4983259474033044	0.9790913499165154	0.9759512348717081	0.943656347390249	464.0	495.0	41.0	
140000	true	n	0.025041821360461305	0.49068336514953675	0.5052055660769106	0.9749581786394419	0.9785604989942764	0.9401089392957707	501.0	473.0	26.0	
150000	true	n	0.020715826902011035	0.4882957491976367	0.49990248991398284	0.9792841730980286	0.974166595587405	0.94094202388485	514.0	467.0	19.0	
160000	true	n	0.024888083039036706	0.48884642755353674	0.4876582390623426	0.9751119169610354	0.9750613099584763	0.9428394202432921	501.0	482.0	17.0	
170000	true	n	0.03002519709772129	0.4859539771584094	0.5038544858086247	0.969974802902322	0.9765446345076344	0.9355151220136276	522.0	468.0	10.0	
180000	true	n	0.023224874659502907	0.4905198572926399	0.49684985727556813	0.9767751253404886	0.9782903730462059	0.9117280211525047	490.0	493.0	17.0	
190000	true	n	0.019099452026444308	0.4893068501315617	0.5068932065777643	0.9809005479735015	0.9830512287404678	0.9380213945795981	489.0	490.0	21.0	
200000	true	n	0.020844423911038728	0.48916623095325645	0.49658390796246915	0.9791555760888766	0.9808079672981014	0.9232811283869438	502.0	475.0	23.0	
210000	true	n	0.02463631209371352	0.49073249332565805	0.5042014828000958	0.9753636879062318	0.9784266549745738	0.9354076654419116	501.0	491.0	8.0	
220000	true	n	0.02370493150198909	0.4881522126651801	0.5076298078828203	0.9762950684979621	0.976589559843709	0.9031237780135563	522.0	468.0	10.0	
230000	true	n	0.022953382541170422	0.489198398522262	0.5745831804096208	0.9770466174587449	0.9807148570379479	0.9398848186898617	503.0	494.0	3.0	
240000	true	n	0.01820405943792207	0.48911639736119766	0.4972844937056162	0.9817959405620306	0.9779093964995456	0.9395077001802495	495.0	492.0	13.0	
250000	true	n	0.021495521651038043	0.48992328212019537	0.4933476942344448	0.9785044783490563	0.9804551084866674	0.939007128371623	503.0	479.0	18.0	
260000	true	n	0.02147655524710662	0.4900238708005421	0.49405549979513347	0.9785234447531291	0.9814410354790286	0.9323098546453881	451.0	530.0	19.0	
270000	true	n	0.02173684385766293	0.489401455225991	0.48060843207720944	0.9782631561426608	0.9827344868804524	0.946496176558919	486.0	488.0	26.0	
280000	true	n	0.02468312669528572	0.48966850383241495	0.4916151556948246	0.9753168733051663	0.9797574172249222	0.9303325390477257	472.0	492.0	36.0	
