% Base Parameters: Dims = 100, predfreq = .004, huntsteps = 4, hetfreq = .01, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 1000, vigilance = true, vigprop = .333, indvprop = .333, mutrate = .001, fthresh = 25, localbirth = false, learnalg = n, lrate = .01, 

% Test Parameters:
%vigilance = [true, false]
%learnalg = [n, r]
%lrate = [.01, .05, .1]
% 	Parameters			Results
Timestep	vigilance	learnalg	lrate	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	vigcount	indcount	soccount	
% [100, .004, 4, .01, 1, 0, 1, 1, 1, 2, 4, 2, 4, 2, true, 1000, true, .333, .333, .001, 25, false, n, .01]
360000	true	n	.01	0.018558440618474312	0.49213332039922836	0.5066035754429922	0.9814415593832944	0.9856937191046605	0.9369911068047898	62.0	935.0	3.0	
370000	true	n	.01	0.02817652832979965	0.4925929382971072	0.49999999999988853	0.9718234716721524	0.9788852848452764	0.932095964895349	55.0	944.0	1.0	
380000	true	n	.01	0.023132434019184123	0.4905289630423571	-Infinity	0.9768675659825877	0.9748798865777403	Infinity	61.0	939.0	0.0	
390000	true	n	.01	0.02388271294112638	0.4871708729367201	-Infinity	0.9761172870609819	0.9793811248555447	Infinity	51.0	949.0	0.0	
400000	true	n	.01	0.01906940737188905	0.4903983265251483	-Infinity	0.9809305926299358	0.9781263726042397	Infinity	59.0	941.0	0.0	
410000	true	n	.01	0.009237420699808473	0.4894170777122384	-Infinity	0.9907625793038797	0.9767319104325409	Infinity	29.0	971.0	0.0	
420000	true	n	.01	0.033609859254217306	0.4892687446713097	0.5064429468184971	0.966390140750676	0.976760189699605	0.9082836659043532	22.0	973.0	5.0	
430000	true	n	.01	0.016131529823144957	0.4865240500659665	0.4810791528828866	0.9838684701824834	0.9787513662796765	0.9474330369951849	19.0	976.0	5.0	
440000	true	n	.01	0.020318615524004418	0.48955696136303556	0.5027406204160231	0.9796813844849037	0.9777376474080063	0.956209508694251	12.0	984.0	4.0	
450000	true	n	.01	0.030119846862491136	0.48884891262522406	0.5065827282447489	0.969880153146415	0.9848199724716824	0.9699357365841149	12.0	981.0	7.0	
460000	true	n	.01	0.03212773515602433	0.4896318489033992	0.4736492896597657	0.967872264852902	0.9764621928973687	0.9206775729801439	12.0	986.0	2.0	
