% Base Parameters: Dims = 100, predfreq = .004, huntsteps = 4, hetfreq = .01, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 1000, vigilance = true, vigprop = .333, indvprop = .333, mutrate = .001, fthresh = 25, localbirth = false, learnalg = n, lrate = .01, 

% Test Parameters:
%vigilance = [true, false]
%learnalg = [n, r]
%lrate = [.01, .05, .1]
% Parameters			Results
vigilance	learnalg	lrate	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	vigcount	indcount	soccount	
true	n	.01	0.01860913815179663	0.4907897943853746	0.5033573586240663	0.9813908618471204	0.977314787350539	0.9254924447541218	326.0	643.0	31.0	
true	n	.05	0.006217795147004572	0.46585932318487816	0.4789990995626065	0.9937822048515396	0.9938466686070617	0.9717734728519206	191.0	738.0	71.0	
true	n	.1	0.0064689612692704745	0.45146824857862383	0.48407254032073105	0.9935310387303848	0.9910280747283301	0.9707461435000182	162.0	723.0	115.0	
true	r	.01	Infinity	0.4899671990641922	0.5057036260239292	-Infinity	0.9874814001118032	0.9677428882823171	0.0	996.0	4.0	
true	r	.05	0.003478764019010278	0.45570646915788576	0.48195950437541946	0.9965212358127117	0.9965914145966047	0.9791419563690501	726.0	258.0	16.0	
true	r	.1	0.004526264378453645	0.432358289561912	-Infinity	0.9954737355995082	0.9957006854514279	-Infinity	385.0	615.0	0.0	
false	n	.01	NaN	0.490710396813082	-Infinity	NaN	0.9769744416240935	Infinity	0.0	1000.0	0.0	
false	n	.05	NaN	0.4711339570338058	-Infinity	NaN	0.9898456168470559	Infinity	0.0	1000.0	0.0	
false	n	.1	NaN	0.45808525078846263	0.49726043287371824	NaN	0.9914034621949103	0.9839226224275393	0.0	949.0	51.0	
false	r	.01	NaN	0.4903640395616231	Infinity	NaN	0.9903266590735171	Infinity	0.0	1000.0	0.0	
false	r	.05	NaN	0.4577423693018779	0.5047880967510959	NaN	0.996890783233542	0.9792945303046131	0.0	938.0	62.0	
false	r	.1	NaN	0.4523589372394118	0.45988222244439914	NaN	0.9993996373412334	0.9949961076186737	0.0	980.0	20.0	
