% Base Parameters: Dims = 100, predfreq = .001, huntsteps = 1, hetfreq = .1, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 1000, basevig = .001, vigilance = false, vigprop = 0, indvprop = .5, mutrate = .001, fthresh = 25, stayforage = .5, foragediff = .5, predflee = 0, localbirth = true, minlifespan = 125, lifespanrange = 50, learnalg = n, lrate = .01, 

% Test Parameters:
%predfreq = [.001, .1]
%huntsteps = [1, 100, 100000]
%stayforage = [.5, 1]
%foragediff = [.5, .1, .01]
%predflee = [0, .5, 1]
% 	Parameters					Results
Seed	predfreq	huntsteps	stayforage	foragediff	predflee	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	VigPredCost	IndPredCost	SocPredCost	VigForageCost	IndForageCost	SocForageCost	VigOffspring	IndOffspring	SocOffspring	VigLifespan	IndLifespan	SocLifespan	PredRate	ReprodRate	FAlarmRate	vigcount	indcount	soccount	
1	.001	1	.5	.5	0	NaN	0.4990902242842593	0.500469629956724	NaN	0.7989151478521603	0.47116354613437067	NaN	0.0029857962618170097	0.0059382422802850355	NaN	80.14839068126201	93.5647268408551	NaN	1.001303320058777	0.5737217598097503	NaN	125.30074749238665	123.75862068965517	0.023919597989949748	7.921842546063652	2.2631490787269684	0.0	998.0	2.0	
2	.001	1	.5	.5	0	NaN	0.49906931158506485	0.5001100718247156	NaN	0.799152289845265	0.47644643204719417	NaN	0.003524240311527539	0.0033370411568409346	NaN	80.32476150798374	94.75528364849833	NaN	1.0013277207602589	0.596989966555184	NaN	125.5251114260831	125.8628762541806	0.02797319932998325	7.907068676716918	2.409380234505863	0.0	992.0	4.0	
3	.001	1	.5	.5	0	NaN	0.499138526108134	0.500757787029376	NaN	0.7987252757864366	0.4734484510355737	NaN	0.003432576808679455	0.0021798365122615805	NaN	80.12604642676816	94.10408719346049	NaN	1.0012271088803484	0.5979268957992362	NaN	125.21298860663491	124.84069830878342	0.027236180904522612	7.923551088777219	2.217420435510888	0.0	985.0	2.0	
4	.001	1	.5	.5	0	NaN	0.49905950510730207	0.5005230398059101	NaN	0.7985543135959572	0.4687236800610823	NaN	0.003826044217715898	0.008114856429463172	NaN	80.09636292762293	92.94444444444444	NaN	1.0014169187760886	0.5340412242348532	NaN	125.18646310692418	123.00999375390381	0.03068676716917923	7.9268341708542716	2.4067671691792296	0.0	997.0	1.0	
5	.001	1	.5	.5	0	NaN	0.4990288741873071	0.500734437738931	NaN	0.7988530886654854	0.4803204754056769	NaN	0.0038164212242264212	0.002191780821917808	NaN	80.20209627230314	92.46684931506849	NaN	1.0014366652314224	0.5913329676357653	NaN	125.34720830793235	123.24629731212288	0.030251256281407034	7.919128978224456	2.490083752093802	0.0	990.0	2.0	
6	.001	1	.5	.5	0	NaN	0.4992216440210661	0.5002174006998616	NaN	0.7989536377796421	0.46925635162209883	NaN	0.002616102812416524	0.003766478342749529	NaN	80.13675815253109	94.76710608913999	NaN	1.0012390782279903	0.5465408805031446	NaN	125.29131538160203	125.03647798742138	0.02087102177554439	7.920938023450586	1.942780569514238	0.0	995.0	3.0	
7	.001	1	.5	.5	0	NaN	0.4991601178350248	0.5021047436263365	NaN	0.7989379658589497	0.4687407172049841	NaN	0.003257619516835989	0.004	NaN	80.20501342122252	95.47085714285714	NaN	1.0012496907761732	0.5831903945111492	NaN	125.34639466343653	125.93767867352773	0.02592964824120603	7.91283082077052	2.262010050251256	0.0	990.0	1.0	
8	.001	1	.5	.5	0	NaN	0.4990399278235801	0.5004590127535642	NaN	0.7988892619507457	0.47346936088308206	NaN	0.0032862613894007455	0.0016198704103671706	NaN	80.16712804531134	95.50647948164146	NaN	1.0014156152596503	0.5988120950323974	NaN	125.27136747581302	126.48218142548596	0.026030150753768844	7.918860971524288	2.5057621440536013	0.0	999.0	0.0	
9	.001	1	.5	.5	0	NaN	0.4990668989184247	0.5004294774207777	NaN	0.7989959102952112	0.47841910965648277	NaN	0.0037699761985719145	0.0036726128016789086	NaN	80.26296327779667	95.30325288562435	NaN	1.0014895687506402	0.6015748031496063	NaN	125.42624287226414	126.4498687664042	0.029949748743718592	7.912428810720268	2.356314907872697	0.0	984.0	1.0	
10	.001	1	.5	.5	0	NaN	0.4992863392957104	0.5001902721718902	NaN	0.79914754099453	0.4695932483108955	NaN	0.0026870765625795936	0.004214328717639976	NaN	80.2381607321753	93.0421432871764	NaN	1.0013811801416987	0.5623869801084991	NaN	125.42133667544825	123.19168173598554	0.021440536013400336	7.914003350083752	1.79678391959799	0.0	990.0	2.0	
1	.001	1	.5	.5	.5	NaN	0.49912339577234455	0.49981244950608866	NaN	0.7986964883264488	0.4816357414128615	NaN	0.004005696991276482	0.004558404558404558	NaN	80.0842171299711	94.28774928774929	NaN	1.001396249707341	0.582905982905983	NaN	125.17534853031948	125.26609686609686	0.03192629815745394	7.928609715242881	2.1975544388609713	0.0	999.0	0.0	
2	.001	1	.5	.5	.5	NaN	0.49937862765349017	0.5000720521986928	NaN	0.7991676786691445	0.468529470522059	NaN	0.0030580520208627103	0.0024154589371980675	NaN	80.2046813679686	94.30253623188406	NaN	1.0013649314975004	0.5634057971014492	NaN	125.3734708501817	124.28502415458937	0.02425460636515913	7.909547738693467	1.5827470686767169	0.0	1000.0	0.0	
3	.001	1	.5	.5	.5	NaN	0.49928224931503196	0.5004515113343636	NaN	0.7990603227754048	0.4684658273654786	NaN	0.003486345148169669	0.008949880668257757	NaN	80.11535476318726	93.23627684964201	NaN	1.0013502116893405	0.5596658711217184	NaN	125.23393588837114	123.50656324582339	0.028040201005025127	7.9213735343383584	1.7628810720268007	0.0	999.0	0.0	
4	.001	1	.5	.5	.5	NaN	0.4992126122428176	0.500162922607378	NaN	0.798702107338265	0.47919860176591406	NaN	0.0035229927208441617	0.006292906178489702	NaN	80.09052946637895	92.92048054919908	NaN	1.0014645776566757	0.568649885583524	NaN	125.18440905994551	123.36899313501144	0.028207705192629814	7.927202680067001	2.0284422110552764	0.0	999.0	0.0	
5	.001	1	.5	.5	.5	NaN	0.49916485074513023	0.5004121464640641	NaN	0.7991830994105937	0.47823698250218954	NaN	0.003813762671842285	0.007960808328230252	NaN	80.27022929292501	93.72565829761176	NaN	1.0012111907198908	0.5648432698217578	NaN	125.4891845786421	124.6902274124155	0.03051926298157454	7.909413735343383	2.115142378559464	0.0	983.0	6.0	
6	.001	1	.5	.5	.5	NaN	0.49920303776060054	0.49985087907977066	NaN	0.799151734196546	0.4790227750168249	NaN	0.0032195449313404435	0.004595060310166571	NaN	80.22266678559444	93.4646754738656	NaN	1.0013564411760942	0.5761056863871339	NaN	125.38664118718462	124.00746697300401	0.025661641541038525	7.9121608040201	1.9963484087102177	0.0	1000.0	0.0	
7	.001	1	.5	.5	.5	NaN	0.4991984539576747	0.5010572540936719	NaN	0.798830224865125	0.4723090308349445	NaN	0.003585872088335519	0.005599104143337066	NaN	80.08163057454583	95.40649496080627	NaN	1.0012401237566801	0.5993265993265994	NaN	125.19836866194483	126.52020202020202	0.02864321608040201	7.92070351758794	1.9083752093802344	0.0	993.0	4.0	
8	.001	1	.5	.5	.5	NaN	0.4993089240887651	0.5005641046341407	NaN	0.799226386528152	0.4710827658047187	NaN	0.0037089907976242064	0.005931198102016607	NaN	80.25139565117642	93.86002372479241	NaN	1.0012714666666667	0.5729537366548043	NaN	125.4669696	124.31435349940688	0.029581239530988276	7.90820770519263	1.7634505862646566	0.0	999.0	0.0	
9	.001	1	.5	.5	.5	NaN	0.4991574569107733	0.4999416735593231	NaN	0.7987214344130263	0.47906081058120725	NaN	0.004590347542764051	0.0038398244651673065	NaN	80.07305949633451	95.47174986286342	NaN	1.0013505683464272	0.6051619989017024	NaN	125.16665672557474	126.79571663920923	0.036482412060301506	7.9241206030150755	2.147671691792295	0.0	996.0	2.0	
10	.001	1	.5	.5	.5	NaN	0.4990594425883532	0.5003611298119012	NaN	0.7987277670082565	0.468273550431484	NaN	0.004477744844869039	0.006662628709872804	NaN	80.15414721434236	95.89824348879468	NaN	1.0011412025208652	0.569436021831413	NaN	125.23619911429059	126.71012734990903	0.03574539363484087	7.922412060301507	2.393098827470687	0.0	993.0	2.0	
1	.001	1	.5	.5	1	NaN	0.49941942988838844	0.5000641185146834	NaN	0.7990248900022608	0.4724594202934818	NaN	0.0031193842606720237	0.004055619930475087	NaN	80.07908656291323	92.10660486674392	NaN	1.0013577241308864	0.5740848343986055	NaN	125.22044502706936	122.19407321324812	0.02489112227805695	7.928643216080402	1.477889447236181	0.0	992.0	5.0	
2	.001	1	.5	.5	1	NaN	0.49903614664951224	0.5007641910038086	NaN	0.7985063159696181	0.4791812898098591	NaN	0.00509295382840859	0.009518477043673012	NaN	80.06467754520473	95.20380739081747	NaN	1.0013797567539944	0.5866141732283464	NaN	125.15876145538786	126.47919010123735	0.04080402010050251	7.926365159128978	2.3834505862646567	0.0	992.0	8.0	
3	.001	1	.5	.5	1	NaN	0.4990042200325119	0.5006064186140252	NaN	0.7985187423374502	0.4790982203494406	NaN	0.004871492652483231	0.003820960698689956	NaN	80.04718437052175	94.85207423580786	NaN	1.001460413428991	0.5901639344262295	NaN	125.10672513997403	125.99125683060109	0.03872696817420435	7.929447236180905	2.433333333333333	0.0	997.0	2.0	
4	.001	1	.5	.5	1	NaN	0.4991552631313509	0.5002589776597486	NaN	0.7988456344613581	0.4747265638709995	NaN	0.004623300756540123	0.006141820212171971	NaN	80.14013823202262	94.67280848687884	NaN	1.0014197399275209	0.5743847874720358	NaN	125.23614581112768	125.57270693512304	0.03685092127303183	7.91748743718593	2.066566164154104	0.0	996.0	3.0	
5	.001	1	.5	.5	1	NaN	0.499246989215542	0.500557367233319	NaN	0.7991614269411664	0.4763721027579982	NaN	0.003692495745141397	0.00889152341434499	NaN	80.1980111453952	93.51511558980438	NaN	1.0015003367232986	0.5506816834617665	NaN	125.3724713785196	124.17545939537641	0.02964824120603015	7.916247906197655	1.8504187604690117	0.0	999.0	0.0	
6	.001	1	.5	.5	1	NaN	0.49936674067746606	0.500177459784658	NaN	0.799251918741216	0.4741443273783347	NaN	0.0032829773589232855	0.0034965034965034965	NaN	80.20035080715375	93.7016317016317	NaN	1.0014074895504563	0.5697606538237011	NaN	125.39642156444596	123.97197898423818	0.02609715242881072	7.9119932998324956	1.6220100502512562	0.0	997.0	3.0	
