% Base Parameters: Dims = 5, predfreq = .1, huntsteps = 1000, hetfreq = .1, accalarm = 1, falarm = 0, preddet = 1, alarmdet = 1, condet = 1, apredrange = 2, aalarmrange = 4, aconrange = 2, hetrange = 4, predrange = 2, align = true, popthresh = 3, basevig = .001, vigilance = true, vigprop = .3, indvprop = .3, mutrate = .001, fthresh = 150, stayforage = 1, foragediff = .01, localbirth = false, minlifespan = 200, lifespanrange = 0, learnalg = n, lrate = .001, 

% Test Parameters:
%learnalg = [n, r]
%lrate = [.001, .01, .1]
% 		Parameters		Results
Seed	Timestep	learnalg	lrate	VigAlarm	IndAlarm	SocAlarm	VigNoAlarm	IndNoAlarm	SocNoAlarm	VigPredCost	IndPredCost	SocPredCost	VigForageCost	IndForageCost	SocForageCost	VigOffspring	IndOffspring	SocOffspring	VigLifespan	IndLifespan	SocLifespan	PredRate	ReprodRate	FAlarmRate	vigcount	indcount	soccount	
% [5, .1, 1000, .1, 1, 0, 1, 1, 1, 2, 4, 2, 4, 2, true, 3, .001, true, .3, .3, .001, 150, 1, .01, false, 200, 0, n, .001]
0	0	n	.001	0.5	0.5	0.5	0.5	0.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.0	1.0	1.0	
0	1	n	.001	0.5214503102262571	0.5	0.5292068902410586	0.47854968977374285	0.5471040736902069	0.5	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	1.0	1.0	1.0	1.0	
0	2	n	.001	0.5209297965265196	0.581810744261725	0.5296760509815631	0.47907020347348034	0.5471040736902069	0.5	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	1.0	1.0	1.0	1.0	
0	3	n	.001	0.5204097570247764	0.582217681974151	0.5301446918313998	0.47959024297522357	0.5471040736902069	0.5	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	1.0	1.0	1.0	1.0	
0	4	n	.001	0.5198901925050495	0.5816510986395281	0.5306128126459203	0.4801098074949505	0.5471040736902069	0.5	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	1.0	1.0	1.0	1.0	
0	5	n	.001	0.5193711037439446	0.5810848514697327	0.5306128126459203	0.48062889625605537	0.5471040736902069	0.5332001710808069	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	1.0	1.0	1.0	1.0	
0	6	n	.001	0.5188524915106735	0.5810848514697327	0.5306128126459203	0.4811475084893265	0.5465617695748539	0.5336648838435601	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.8333333333333334	1.0	1.0	1.0	
0	7	n	.001	0.5183343565670739	0.5810848514697327	0.5306128126459203	0.48166564343292606	0.5470112375103926	0.5341290756396436	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.7142857142857143	1.0	1.0	1.0	
0	8	n	.001	0.5178166996676317	0.580518942174647	0.5310804132854999	0.48218330033236845	0.5470112375103926	0.5341290756396436	0.0	0.0	0.0	0.0	0.0	0.0	NaN	NaN	NaN	NaN	NaN	NaN	0.0	0.0	0.875	1.0	1.0	1.0	
